year,player,player_id,position,player_game_count,team_name,pass_snaps,attempts,pass_block_percentage,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
2019,Morgan Cox,6020,LS,1,BLT,1,1,100,0,0,0,0,100
2019,James Develin,6142,FB,2,NE,12,3,25,0,0,0,0,100
2019,Kelvin Harmon,47931,WR,16,WAS,292,4,1.4,0,0,0,0,100
2019,James Washington,47792,WR,15,PIT,419,2,0.5,0,0,0,0,100
2019,Christian Kirk,47546,WR,13,ARZ,502,1,0.2,0,0,0,0,100
2019,Reggie Bonnafon,47542,HB,7,CAR,41,7,17.1,0,0,0,0,100
2019,Hunter Renfrow,47509,WR,13,OAK,290,2,0.7,0,0,0,0,100
2019,Mark Ingram II,6180,HB,15,BLT,216,51,23.6,0,0,0,0,100
2019,Andy Dalton,6187,QB,13,CIN,569,1,0.2,0,0,0,0,100
2019,Dalton Schultz,47304,TE,13,DAL,23,8,34.8,0,0,0,0,100
2019,Lance Kendricks,6199,TE,9,LAC,56,1,1.8,0,0,0,0,100
2019,Hayden Hurst,47294,TE,16,BLT,211,4,1.9,0,0,0,0,100
2019,Garrett Dickerson,47268,TE,1,NYG,1,1,100,0,0,0,0,100
2019,Mike Gesicki,47153,TE,16,MIA,531,13,2.4,0,0,0,0,100
2019,Anthony Sherman,6288,FB,11,KC,21,6,28.6,0,0,0,0,100
2019,Isaac Nauta,47119,TE,5,DET,11,3,27.3,0,0,0,0,100
2019,Jace Sternberger,47081,TE,5,GB,22,7,31.8,0,0,0,0,100
2019,Ricky Ortiz,47053,FB,1,NO,6,1,16.7,0,0,0,0,100
2019,Fred Johnson,46951,T,4,CIN,77,75,97.4,0,0,0,0,100
2019,Colin Jones,6342,S,1,CAR,1,1,100,0,0,0,0,100
2019,Josh Allen,46601,QB,16,BUF,544,1,0.2,0,0,0,0,100
2019,Virgil Green,6356,TE,15,LAC,183,42,23,0,0,0,0,100
2019,Baker Mayfield,46518,QB,16,CLV,592,1,0.2,0,0,0,0,100
