player,player_id,position,player_game_count,team_name,pass_snaps,attempts,pass_block_percentage,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
Michael Schofield III,8730,T,13,DEN,511,511,100.0,9,8,40,57,93.5
Todd Gurley II,9443,HB,13,SL,175,31,17.7,0,1,3,4,93.5
James Hurst,9001,T,13,BLT,333,333,100.0,4,6,30,40,93.4
Shaun Draughn,6440,HB,9,SF,176,30,17.0,1,0,2,3,93.3
Kyle Rudolph,6195,TE,16,MIN,451,45,10.0,2,1,1,4,93.3
Jack Doyle,8520,TE,15,IND,142,67,47.2,1,1,6,8,93.3
Devonta Freeman,8738,HB,15,ATL,436,75,17.2,2,2,4,8,93.3
Melvin Gordon III,9448,HB,14,SD,187,30,16.0,1,0,2,3,93.3
Eddie Lacy,7842,HB,15,GB,220,58,26.4,1,0,6,7,93.1
Dennis Kelly,7146,T,8,PHI,233,233,100.0,5,1,21,27,93.1
Alvin Bailey,8071,T,9,SEA,142,142,100.0,3,6,8,17,93.0
Cooper Helfet,7737,TE,11,SEA,124,14,11.3,1,0,0,1,92.9
Knile Davis,7878,HB,9,KC,47,7,14.9,0,0,1,1,92.9
Cameron Brate,9207,TE,14,TB,214,7,3.3,0,0,1,1,92.9
Jerome Felton,4460,FB,16,BUF,86,28,32.6,1,0,2,3,92.9
Larry Fitzgerald,1724,WR,16,ARZ,553,7,1.3,0,0,1,1,92.9
Antonio Gates,1609,TE,11,SD,356,7,2.0,0,0,1,1,92.9
Jeff Cumberland,5861,TE,14,NYJ,124,21,16.9,0,1,2,3,92.9
Ryan Mathews,5537,HB,13,PHI,115,7,6.1,0,0,1,1,92.9
Austin Shepherd,9661,T,5,MIN,7,7,100.0,0,0,1,1,92.9
Jalston Fowler,9541,FB,14,TEN,39,7,17.9,0,0,1,1,92.9
Adrian Peterson,3623,HB,16,MIN,285,61,21.4,1,1,6,8,92.6
Patrick DiMarco,6997,FB,16,ATL,169,40,23.7,1,1,3,5,92.5
Michael Hoomanawanui,5655,TE,14,NO,146,60,41.1,2,1,4,7,92.5
Luke Willson,7940,TE,14,SEA,206,46,22.3,0,1,6,7,92.4
Joique Bell,5797,HB,13,DET,126,39,31.0,0,2,4,6,92.3
Jeremiah Poutasi,9499,T,8,TEN,213,213,100.0,7,7,12,26,92.3
Chris Watt,8724,C,4,SD,102,102,100.0,1,0,14,15,92.2
Tommy Bohanon,7997,FB,15,NYJ,84,32,38.1,0,0,5,5,92.2
Andrew Donnal,9552,T,2,SL,38,38,100.0,0,4,2,6,92.1
