player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr,year
Dante Rosario,3771,TE,16,CHI,19,16,116,152,0.76,2014
Benjamin Watson,1753,TE,16,NO,27,20,136,178,0.76,2014
Garrett Graham,5642,TE,11,HST,26,18,197,259,0.76,2014
Ed Dickson,5595,TE,16,CAR,16,10,115,154,0.75,2014
Cory Harkey,7306,FB,16,SL,9,8,55,73,0.75,2014
Tavon Austin,7789,WR,15,SL,43,31,242,324,0.75,2014
Michael Cox,8036,HB,1,NYG,3,2,9,12,0.75,2014
Christine Michael,7843,HB,7,SEA,2,1,12,16,0.75,2014
Junior Hemingway,7222,WR,13,KC,20,12,108,145,0.74,2014
Denarius Moore,6300,WR,8,OAK,25,12,115,156,0.74,2014
Marcel Jensen,8936,TE,1,JAX,1,1,8,11,0.73,2014
Patrick DiMarco,6997,FB,16,ATL,13,9,62,85,0.73,2014
Erik Lorig,5775,FB,10,NO,10,9,27,37,0.73,2014
Bilal Powell,6278,HB,15,NYJ,13,11,92,127,0.72,2014
Brandon Tate,5006,WR,15,CIN,27,17,193,269,0.72,2014
Jamize Olawale,7572,FB,10,OAK,6,5,18,25,0.72,2014
Anthony Dixon,5696,HB,10,BUF,9,8,49,69,0.71,2014
Austin Johnson,8438,FB,7,NO,2,2,15,21,0.71,2014
Alfonso Smith,5877,HB,3,SF,4,3,11,16,0.69,2014
Montee Ball,7839,HB,5,DEN,12,9,62,90,0.69,2014
Marquise Goodwin,7859,WR,10,BUF,9,1,42,61,0.69,2014
James Develin,6142,FB,13,NE,6,6,43,63,0.68,2014
Jeremy Ross,6476,WR,16,DET,33,24,314,461,0.68,2014
Danny Amendola,4717,WR,16,NE,41,27,200,296,0.68,2014
Robert Herron,8820,WR,7,TB,11,6,58,86,0.67,2014
Jeff Cumberland,5861,TE,16,NYJ,43,23,247,368,0.67,2014
Chris Gragg,8004,TE,10,BUF,9,7,48,73,0.66,2014
Jacob Tamme,4441,TE,14,DEN,28,14,109,164,0.66,2014
Kris Durham,6259,WR,4,TEN,11,6,54,82,0.66,2014
Andre Williams,8748,HB,16,NYG,28,18,130,203,0.64,2014
Dri Archer,8732,HB,12,PIT,10,7,23,36,0.64,2014
Maurice Jones-Drew,3005,HB,12,OAK,13,11,71,111,0.64,2014
Logan Paulsen,5795,TE,16,WAS,15,12,72,115,0.63,2014
Matt Spaeth,3693,TE,14,PIT,4,3,46,73,0.63,2014
Ryan Grant,8777,WR,13,WAS,14,7,68,110,0.62,2014
Ryan Griffin,7982,TE,14,HST,15,10,91,146,0.62,2014
Tavarres King,7943,WR,2,TB,3,2,13,21,0.62,2014
A.J. Jenkins,7034,WR,9,KC,14,9,93,155,0.6,2014
Marion Grice,8835,HB,7,ARZ,11,7,29,48,0.6,2014
Justin Brown,7967,WR,6,PIT,20,12,94,157,0.6,2014
Carlos Hyde,8692,HB,14,SF,16,12,68,113,0.6,2014
Juwan Thompson,8955,HB,12,DEN,6,4,25,42,0.6,2014
Jerrel Jernigan,6235,WR,2,NYG,9,6,40,68,0.59,2014
Vernon Davis,2951,TE,14,SF,47,26,245,416,0.59,2014
Jed Collins,4743,FB,16,DET,6,5,39,69,0.57,2014
Darrin Reaves,9006,HB,5,CAR,8,5,31,54,0.57,2014
Marquess Wilson,8019,WR,7,CHI,32,17,140,251,0.56,2014
Isaiah Crowell,9295,HB,15,CLV,14,9,87,156,0.56,2014
John Kuhn,2686,FB,12,GB,3,3,18,33,0.55,2014
Brad Smith,3048,WR,10,PHI,3,1,11,20,0.55,2014
Kevin Brock,5328,TE,10,CIN,6,5,21,38,0.55,2014
David Ausberry,6393,TE,4,OAK,3,2,14,26,0.54,2014
Ben Tate,5583,HB,11,MIN,11,9,60,112,0.54,2014
Lee Smith,6311,TE,13,BUF,8,7,42,79,0.53,2014
Doug Martin,7035,HB,11,TB,19,13,64,121,0.53,2014
Chris Polk,7532,HB,8,PHI,3,2,16,30,0.53,2014
Levine Toilolo,7915,TE,16,ATL,48,31,238,456,0.52,2014
Frank Gore,2282,HB,16,SF,15,11,111,217,0.51,2014
Kerwynn Williams,8013,HB,4,ARZ,5,2,11,22,0.5,2014
Brian Leonhardt,8083,TE,12,OAK,8,6,35,72,0.49,2014
Jonathan Dwyer,5711,HB,2,ARZ,3,2,8,17,0.47,2014
Andre Caldwell,4411,WR,12,DEN,15,5,47,101,0.47,2014
Darrius Heyward-Bey,4930,WR,12,PIT,5,3,33,73,0.45,2014
Seyi Ajirotutu,6035,WR,11,SD,10,4,45,99,0.45,2014
Terrance West,8729,HB,14,CLV,12,11,64,142,0.45,2014
LeSean McCoy,4976,HB,16,PHI,34,29,155,363,0.43,2014
Vance McDonald,7836,TE,8,SF,7,2,30,75,0.4,2014
David Nelson,5862,WR,6,NYJ,16,8,65,162,0.4,2014
Santonio Holmes,2970,WR,9,CHI,14,8,67,172,0.39,2014
Aldrick Robinson,6330,WR,5,WAS,3,1,6,16,0.38,2014
Bernard Pierce,7085,HB,10,BLT,5,2,13,34,0.38,2014
Michael Hoomanawanui,5655,TE,15,NE,5,3,44,116,0.38,2014
Nic Jacobs,8946,TE,11,JAX,3,2,16,44,0.36,2014
Stevan Ridley,6225,HB,6,NE,4,4,20,55,0.36,2014
Brandon Pettigrew,4943,TE,14,DET,14,10,70,203,0.34,2014
Michael Palmer,5784,TE,2,PIT,2,1,1,3,0.33,2014
Knowshon Moreno,4935,HB,3,MIA,1,1,8,25,0.32,2014
Shonn Greene,4988,HB,10,TEN,1,1,13,41,0.32,2014
Frankie Hammond,8156,WR,16,KC,10,4,45,151,0.3,2014
Will Tukuafu,7764,FB,7,SEA,2,1,4,14,0.29,2014
Frank Summers,5093,FB,8,BUF,6,5,9,31,0.29,2014
Josh Morgan,4488,WR,14,CHI,18,10,70,249,0.28,2014
Luke Stocker,6256,TE,11,TB,11,7,41,150,0.27,2014
C.J. Fiedorowicz,8700,TE,15,HST,7,4,28,108,0.26,2014
David Johnson,5165,TE,7,SD,1,1,4,16,0.25,2014
Devin Street,8781,WR,15,DAL,7,2,18,75,0.24,2014
Brandon Bolden,7469,HB,11,NE,4,2,8,34,0.24,2014
Ray Agnew,9141,FB,12,CLV,6,3,15,72,0.21,2014
Brandon Bostick,7605,TE,5,GB,4,2,3,16,0.19,2014
Jonas Gray,7393,HB,7,NE,3,1,7,37,0.19,2014
Jarrett Boykin,7363,WR,12,GB,12,3,23,125,0.18,2014
Jorvorskie Lane,7002,FB,8,TB,1,1,3,30,0.1,2014
Tyler Clutts,6124,FB,10,DAL,1,1,1,12,0.08,2014
Bear Pascoe,5108,TE,14,ATL,2,2,3,42,0.07,2014
John Phillips,5132,TE,12,SD,1,1,1,24,0.04,2014
Charcandrick West,9047,HB,2,KC,1,0,0,2,0,2014
Asante Cleveland,9066,TE,3,SF,1,0,0,10,0,2014
George Winn,8123,HB,6,DET,3,0,0,26,0,2014
Will Allen,1832,S,1,PIT,1,0,0,1,0,2014
Jordan Thompson,9399,TE,2,DET,1,0,0,7,0,2014
Kassim Osgood,1676,WR,3,SF,1,0,0,10,0,2014
Julius Peppers,1010,ED,1,GB,1,0,0,1,0,2014
Freddie Martino,9292,WR,1,ATL,1,0,0,2,0,2014
Richard Gordon,6333,TE,4,KC,1,0,0,7,0,2014
Tommy Streeter,7185,WR,2,JAX,1,0,0,6,0,2014
Steve Maneri,6028,TE,1,NE,1,0,0,6,0,2014
LaMichael James,7063,HB,2,MIA,1,0,0,5,0,2014
Dewey McDonald,8913,S,1,IND,1,0,0,1,0,2014
Josh Bellamy,7472,WR,2,CHI,1,0,0,8,0,2014
DeAndre Presley,7548,WR,2,CAR,1,0,0,5,0,2014
Jerome Felton,4460,FB,12,MIN,1,0,0,23,0,2014
Kellen Davis,4472,TE,5,DET,3,0,0,45,0,2014
Mickey Shuler,5737,TE,3,JAX,3,0,0,44,0,2014
Isaiah Burse,9300,WR,3,DEN,1,0,0,7,0,2014
Geno Smith,7820,QB,3,NYJ,1,0,0,3,0,2014
Rodney Smith,8165,WR,1,CLV,1,0,0,5,0,2014
Chris Ogbonnaya,5135,HB,3,NYG,1,0,0,17,0,2014
Storm Johnson,8856,HB,6,JAX,1,1,-4,18,-0.22,2014
Mike James,7970,HB,7,TB,1,1,-5,18,-0.28,2014
Senorise Perry,9035,HB,1,CHI,1,1,-1,1,-1,2014
