year,player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
2015,Phillip Supernaw,7324,TE,6,TEN,4,3,1,4,25
2015,Malcolm Johnson,9628,FB,12,CLV,4,3,1,4,25
2015,Tim Wright,8392,TE,9,DET,15,9,3,12,25
2015,Kenjon Barner,7963,HB,5,PHI,12,9,3,12,25
2015,Bishop Sankey,8689,HB,10,TEN,21,14,5,19,26.3
2015,Andre Holmes,6489,WR,16,OAK,29,14,5,19,26.3
2015,Jeremy Langford,9539,HB,15,CHI,40,22,8,30,26.7
2015,Ahmad Bradshaw,3866,HB,6,IND,13,10,4,14,28.6
2015,Jerome Simpson,4360,WR,5,SF,19,5,2,7,28.6
2015,Austin Johnson,8438,FB,9,NO,8,5,2,7,28.6
2015,Brian Quick,7037,WR,13,SL,32,10,4,14,28.6
2015,Corey Grant,9827,HB,5,JAX,3,2,1,3,33.3
2015,Jeff Janis,8870,WR,9,GB,9,2,1,3,33.3
2015,Tyrell Williams,10154,WR,3,SD,6,2,1,3,33.3
2015,Tre McBride,9678,WR,4,TEN,4,2,1,3,33.3
2015,Matt Spaeth,3693,TE,13,PIT,3,2,1,3,33.3
2015,Russell Shepard,8254,WR,12,TB,9,3,2,5,40
2015,Preston Parker,5950,WR,2,NYG,11,5,4,9,44.4
2015,Jake Fisher,9486,T,8,CIN,4,1,1,2,50
2015,David Cobb,9571,HB,7,TEN,2,1,1,2,50
2015,Terrelle Pryor Sr.,6944,WR,3,CLV,6,1,1,2,50
2015,Cody Davis,8458,S,2,SL,1,1,1,2,50
2015,Stepfan Taylor,7922,HB,10,ARZ,2,1,1,2,50
2015,Khari Lee,10018,TE,10,CHI,3,1,1,2,50
2015,Nic Jacobs,8946,TE,6,JAX,3,1,1,2,50
2015,Garrett Graham,5642,TE,8,HST,18,4,5,9,55.6
2015,Tevin Coleman,9506,HB,12,ATL,10,2,3,5,60
2015,Andre Williams,8748,HB,13,NYG,3,1,2,3,66.7
2015,Alonzo Harris,9926,HB,2,GB,1,0,1,1,100
2015,Alex Smith,2288,TE,3,WAS,1,0,1,1,100
2015,Kevin Norwood,8758,WR,1,CAR,1,0,1,1,100
2015,Rico Richardson,8216,WR,3,TEN,4,0,0,0,
2015,J.J. Watt,6163,DI,1,HST,1,0,0,0,
2015,Matt Hazel,8825,WR,3,MIA,1,0,0,0,
2015,Alejandro Villanueva,9091,T,2,PIT,1,0,0,0,
2015,Vince Mayle,9556,WR,1,DAL,1,0,0,0,
2015,Bryce Brown,7213,HB,3,SEA,2,0,0,0,
2015,Matthew Slater,4467,WR,2,NE,1,0,0,0,
