player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Rashad Greene Sr.,9572,WR,9,JAX,125,34,27.2,91,72.8,22,24.2,13,2,61,0.67,1,13.3,59.1
Coby Fleener,7038,TE,16,IND,450,81,18.0,220,48.9,41,18.6,24,3,206,0.94,0,11.1,58.5
Chris Hogan,6468,WR,15,BUF,371,58,15.6,208,56.1,24,11.5,14,1,189,0.91,1,6.7,58.3
Antonio Brown,5718,WR,16,PIT,632,190,30.1,115,18.2,36,31.3,21,1,243,2.11,2,4.5,58.3
Leonard Hankerson,6231,WR,10,BUF,236,44,18.6,154,65.3,31,20.1,18,7,227,1.47,2,28.0,58.1
Vance McDonald,7836,TE,14,SF,226,46,20.4,106,46.9,19,17.9,11,3,106,1.0,1,21.4,57.9
Kendall Wright,7026,WR,10,TEN,266,59,22.2,176,66.2,38,21.6,22,2,255,1.45,2,8.3,57.9
Nate Washington,2832,WR,14,HST,474,88,18.6,174,36.7,33,19.0,19,3,199,1.14,2,13.6,57.6
Marqise Lee,8674,WR,10,JAX,171,28,16.4,22,12.9,7,31.8,4,0,56,2.55,0,0.0,57.1
Dion Sims,7888,TE,13,MIA,149,24,16.1,63,42.3,7,11.1,4,2,18,0.29,0,33.3,57.1
Devonta Freeman,8738,HB,15,ATL,361,92,25.5,16,4.4,7,43.8,4,1,24,1.5,0,20.0,57.1
Scott Chandler,3745,TE,14,NE,221,41,18.6,109,49.3,14,12.8,8,1,66,0.61,1,11.1,57.1
Shane Vereen,6208,HB,16,NYG,303,74,24.4,25,8.3,7,28.0,4,1,50,2.0,0,20.0,57.1
Jason Avant,3054,WR,16,KC,225,23,10.2,179,79.6,14,7.8,8,0,64,0.36,0,0.0,57.1
Ladarius Green,7110,TE,13,SD,402,56,13.9,267,66.4,30,11.2,17,2,235,0.88,2,10.5,56.7
Bradley Marquez,9914,WR,12,SL,120,22,18.3,90,75.0,16,17.8,9,0,74,0.82,0,0.0,56.3
Harry Douglas,4398,WR,14,TEN,432,70,16.2,113,26.2,16,14.2,9,0,113,1.0,0,0.0,56.3
Vernon Davis,2951,TE,15,DEN,346,54,15.6,62,17.9,9,14.5,5,0,67,1.08,0,0.0,55.6
Demaryius Thomas,5547,WR,16,DEN,591,169,28.6,136,23.0,38,27.9,21,6,229,1.68,2,22.2,55.3
Corey Brown,8986,WR,14,CAR,444,47,10.6,147,33.1,11,7.5,6,1,81,0.55,1,14.3,54.5
Miles Austin,3211,WR,11,PHI,234,31,13.2,57,24.4,13,22.8,7,1,104,1.82,0,12.5,53.8
Marlon Brown,8179,WR,10,BLT,239,27,11.3,111,46.4,15,13.5,8,3,60,0.54,0,27.3,53.3
Jordan Cameron,6254,TE,16,MIA,395,64,16.2,207,52.4,30,14.5,16,3,187,0.9,1,15.8,53.3
Andre Johnson,1319,WR,16,IND,464,76,16.4,260,56.0,34,13.1,18,4,231,0.89,1,18.2,52.9
Austin Seferian-Jenkins,8673,TE,7,TB,144,38,26.4,87,60.4,17,19.5,9,2,153,1.76,3,18.2,52.9
DeAndre Hopkins,7808,WR,16,HST,662,187,28.2,101,15.3,19,18.8,10,1,131,1.3,0,9.1,52.6
Clive Walford,9501,TE,16,OAK,230,49,21.3,115,50.0,19,16.5,10,1,116,1.01,0,9.1,52.6
T.Y. Hilton,7092,WR,16,IND,619,125,20.2,173,27.9,40,23.1,21,1,301,1.74,1,4.5,52.5
Charles Clay,6326,TE,13,BUF,360,75,20.8,136,37.8,21,15.4,11,3,75,0.55,0,21.4,52.4
Mike Evans,8642,WR,15,TB,506,146,28.9,97,19.2,23,23.7,12,3,210,2.16,1,20.0,52.2
Tim Wright,8392,TE,9,DET,123,15,12.2,68,55.3,8,11.8,4,2,46,0.68,1,33.3,50.0
Jack Doyle,8520,TE,15,IND,75,14,18.7,14,18.7,2,14.3,1,0,2,0.14,0,0.0,50.0
Michael Williams,7993,TE,14,NE,107,5,4.7,41,38.3,2,4.9,1,0,4,0.1,0,0.0,50.0
Quinton Patton,7910,WR,16,SF,310,53,17.1,62,20.0,8,12.9,4,1,70,1.13,0,20.0,50.0
Josh Huff,8721,WR,15,PHI,319,38,11.9,43,13.5,4,9.3,2,0,22,0.51,0,0.0,50.0
Cooper Helfet,7737,TE,10,SEA,110,18,16.4,28,25.5,2,7.1,1,0,16,0.57,0,0.0,50.0
Chris Polk,7532,HB,15,HST,127,24,18.9,16,12.6,4,25.0,2,1,18,1.13,0,33.3,50.0
Phillip Supernaw,7324,TE,6,TEN,12,4,33.3,3,25.0,2,66.7,1,1,16,5.33,0,50.0,50.0
Travis Benjamin,7100,WR,16,CLV,587,116,19.8,69,11.8,8,11.6,4,0,48,0.7,0,0.0,50.0
Ronnie Hillman,7069,HB,16,DEN,226,32,14.2,8,3.5,2,25.0,1,0,8,1.0,0,0.0,50.0
Roddy White,2244,WR,16,ATL,586,67,11.4,86,14.7,10,11.6,5,0,69,0.8,1,0.0,50.0
Jeff Janis,8870,WR,9,GB,67,9,13.4,4,6.0,2,50.0,1,0,33,8.25,0,0.0,50.0
Jeremy Ross,6476,WR,6,OAK,60,14,23.3,33,55.0,4,12.1,2,1,26,0.79,0,33.3,50.0
Chris Ivory,6007,HB,15,NYJ,189,34,18.0,17,9.0,2,11.8,1,1,2,0.12,0,50.0,50.0
Zach Miller,5104,TE,15,CHI,213,42,19.7,67,31.5,4,6.0,2,0,27,0.4,0,0.0,50.0
Malcom Floyd,2044,WR,15,SD,527,68,12.9,98,18.6,10,10.2,5,0,69,0.7,1,0.0,50.0
T.J. Yeldon,9469,HB,12,JAX,287,43,15.0,12,4.2,4,33.3,2,1,11,0.92,0,33.3,50.0
Devin Smith,9470,WR,10,NYJ,232,26,11.2,31,13.4,4,12.9,2,0,29,0.94,0,0.0,50.0
Ameer Abdullah,9487,HB,16,DET,171,35,20.5,19,11.1,6,31.6,3,1,23,1.21,0,25.0,50.0
Mike Wallace,5007,WR,16,MIN,463,68,14.7,158,34.1,18,11.4,9,0,135,0.85,0,0.0,50.0
LeSean McCoy,4976,HB,12,BUF,254,45,17.7,14,5.5,4,28.6,2,0,24,1.71,0,0.0,50.0
Duke Johnson Jr.,9510,HB,16,CLV,341,70,20.5,48,14.1,10,20.8,5,2,141,2.94,1,28.6,50.0
Justin Forsett,4547,HB,10,BLT,219,35,16.0,12,5.5,2,16.7,1,0,4,0.33,0,0.0,50.0
Kellen Davis,4472,TE,16,NYJ,111,8,7.2,21,18.9,2,9.5,1,1,8,0.38,0,50.0,50.0
Andre Caldwell,4411,WR,14,DEN,151,22,14.6,63,41.7,12,19.0,6,2,51,0.81,2,25.0,50.0
Jeremy Langford,9539,HB,15,CHI,166,40,24.1,16,9.6,4,25.0,2,2,40,2.5,0,50.0,50.0
James O'Shaughnessy,9606,TE,7,KC,70,9,12.9,18,25.7,2,11.1,1,0,10,0.56,0,0.0,50.0
Tre McBride,9678,WR,4,TEN,37,4,10.8,18,48.6,2,11.1,1,0,1,0.06,1,0.0,50.0
Corey Grant,9827,HB,5,JAX,9,3,33.3,2,22.2,2,100.0,1,1,5,2.5,0,50.0,50.0
Lucky Whitehead,9853,WR,13,DAL,58,7,12.1,36,62.1,2,5.6,1,0,4,0.11,0,0.0,50.0
Chandler Worthy,10028,WR,3,HST,28,4,14.3,19,67.9,2,10.5,1,0,12,0.63,0,0.0,50.0
Ben Edwards,10067,WR,2,NYG,20,2,10.0,20,100.0,2,10.0,1,0,9,0.45,0,0.0,50.0
Andre Holmes,6489,WR,16,OAK,201,29,14.4,100,49.8,15,15.0,7,4,80,0.8,2,36.4,46.7
Preston Parker,5950,WR,2,NYG,61,11,18.0,48,78.7,11,22.9,5,4,40,0.83,0,44.4,45.5
Andre Roberts,5612,WR,9,WAS,150,22,14.7,55,36.7,9,16.4,4,1,30,0.55,0,20.0,44.4
Quincy Enunwa,8843,WR,12,NYJ,336,42,12.5,251,74.7,32,12.7,14,6,205,0.82,0,30.0,43.8
Jared Cook,5012,TE,16,SL,362,69,19.1,170,47.0,30,17.6,13,6,148,0.87,0,31.6,43.3
Phillip Dorsett,9462,WR,11,IND,148,36,24.3,70,47.3,15,21.4,6,0,102,1.46,1,0.0,40.0
J.J. Nelson,9592,WR,11,ARZ,96,24,25.0,36,37.5,5,13.9,2,1,57,1.58,0,33.3,40.0
Stedman Bailey,7873,WR,8,SL,149,22,14.8,113,75.8,13,11.5,5,2,68,0.6,0,28.6,38.5
Anthony Fasano,2998,TE,16,TEN,270,38,14.1,96,35.6,13,13.5,5,0,76,0.79,0,0.0,38.5
Jeff Cumberland,5861,TE,11,NYJ,103,13,12.6,60,58.3,8,13.3,3,1,56,0.93,0,25.0,37.5
Jerome Cunningham,9400,TE,9,NYG,88,15,17.0,14,15.9,3,21.4,1,0,3,0.21,0,0.0,33.3
Darren Fells,8549,TE,14,ARZ,259,28,10.8,30,11.6,3,10.0,1,0,5,0.17,0,0.0,33.3
Garrett Graham,5642,TE,8,HST,181,18,9.9,93,51.4,9,9.7,3,1,23,0.25,0,25.0,33.3
Russell Shepard,8254,WR,12,TB,103,9,8.7,44,42.7,6,13.6,2,2,10,0.23,1,50.0,33.3
Brice Butler,7991,WR,7,DAL,161,23,14.3,15,9.3,3,20.0,1,1,34,2.27,0,50.0,33.3
Darren Waller,9637,WR,3,BLT,29,6,20.7,14,48.3,3,21.4,1,0,1,0.07,0,0.0,33.3
Cody Latimer,8691,WR,12,DEN,95,11,11.6,29,30.5,3,10.3,1,1,7,0.24,0,50.0,33.3
Owen Daniels,3043,TE,16,DEN,434,72,16.6,67,15.4,13,19.4,4,1,43,0.64,1,20.0,30.8
Riley Cooper,5682,WR,16,PHI,332,39,11.7,59,17.8,7,11.9,2,0,43,0.73,1,0.0,28.6
Marcedes Lewis,2973,TE,16,JAX,254,33,13.0,56,22.0,7,12.5,2,1,34,0.61,0,33.3,28.6
Myles White,8243,WR,12,NYG,107,18,16.8,52,48.6,8,15.4,2,0,15,0.29,0,0.0,25.0
Marcel Reece,4702,FB,15,OAK,160,36,22.5,27,16.9,4,14.8,1,1,13,0.48,0,50.0,25.0
Chris Gragg,8004,TE,12,BUF,165,19,11.5,45,27.3,4,8.9,1,0,6,0.13,0,0.0,25.0
Tyrell Williams,10154,WR,3,SD,22,6,27.3,8,36.4,4,50.0,1,1,10,1.25,0,50.0,25.0
Lance Kendricks,6199,TE,15,SL,172,36,20.9,41,23.8,4,9.8,1,1,11,0.27,0,50.0,25.0
Jaron Brown,8128,WR,15,ARZ,147,20,13.6,49,33.3,5,10.2,1,1,20,0.41,0,50.0,20.0
Kyle Juszczyk,7912,FB,16,BLT,200,49,24.5,17,8.5,1,5.9,0,1,0,0.0,0,100.0,0.0
Bernard Pierce,7085,HB,3,JAX,19,5,26.3,2,10.5,1,50.0,0,0,0,0.0,0,,0.0
Seyi Ajirotutu,6035,WR,4,PHI,6,3,50.0,2,33.3,1,50.0,0,0,0,0.0,0,,0.0
Darren McFadden,4318,HB,16,DAL,263,50,19.0,10,3.8,2,20.0,0,0,0,0.0,0,,0.0
Eddie Lacy,7842,HB,15,GB,162,25,15.4,5,3.1,1,20.0,0,1,0,0.0,0,100.0,0.0
Chris Johnson,4338,HB,11,ARZ,115,12,10.4,7,6.1,1,14.3,0,1,0,0.0,0,100.0,0.0
Zurlon Tipton,9164,HB,6,IND,33,7,21.2,1,3.0,1,100.0,0,0,0,0.0,0,,0.0
Chris Givens,7096,WR,15,BLT,306,51,16.7,46,15.0,2,4.3,0,1,0,0.0,0,100.0,0.0
Nic Jacobs,8946,TE,6,JAX,12,3,25.0,1,8.3,1,100.0,0,0,0,0.0,0,,0.0
Kevin Norwood,8758,WR,1,CAR,6,1,16.7,3,50.0,1,33.3,0,1,0,0.0,0,100.0,0.0
Christopher Harper,9950,WR,5,NE,44,2,4.5,16,36.4,1,6.3,0,0,0,0.0,0,,0.0
Tevin Coleman,9506,HB,12,ATL,86,10,11.6,5,5.8,2,40.0,0,1,0,0.0,0,100.0,0.0
Matt Hazel,8825,WR,3,MIA,10,1,10.0,1,10.0,1,100.0,0,0,0,0.0,0,,0.0
Hakeem Nicks,4952,WR,6,NYG,108,14,13.0,2,1.9,1,50.0,0,0,0,0.0,0,,0.0
Nick O'Leary,9627,TE,4,BUF,20,3,15.0,4,20.0,1,25.0,0,0,0,0.0,0,,0.0
Rico Richardson,8216,WR,3,TEN,32,4,12.5,12,37.5,2,16.7,0,0,0,0.0,0,,0.0
James White,8765,HB,11,NE,199,47,23.6,11,5.5,1,9.1,0,0,0,0.0,0,,0.0
Matt Jones,9528,HB,13,WAS,128,23,18.0,5,3.9,1,20.0,0,1,0,0.0,0,100.0,0.0
