player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent,year
Travaris Cadet,7457,HB,7,NO,10,32,0,0,0,2014
Shaun Draughn,6440,HB,1,CLV,10,19,0,0,0,2014
Cordarrelle Patterson,7810,WR,8,MIN,10,117,2,90,76.9,2014
Zurlon Tipton,9164,HB,2,IND,10,18,0,0,0,2014
Kyle Orton,2323,QB,7,BUF,10,-9,0,0,0,2014
Dri Archer,8732,HB,7,PIT,10,40,1,15,37.5,2014
James White,8765,HB,2,NE,9,38,0,0,0,2014
Darrel Young,5438,FB,7,WAS,9,22,0,0,0,2014
Rex Burkhead,7971,HB,3,CIN,9,27,0,0,0,2014
Nick Foles,7089,QB,7,PHI,9,17,0,0,0,2014
Orleans Darkwa,9173,HB,3,NYG,9,23,0,0,0,2014
Austin Davis,7305,QB,7,SL,9,-8,0,0,0,2014
Josh Harris,9076,HB,2,PIT,9,16,0,0,0,2014
Austin Johnson,8438,FB,6,NO,8,22,0,0,0,2014
Matt Hasselbeck,408,QB,3,IND,8,-11,0,0,0,2014
Emmanuel Sanders,5606,WR,7,DEN,8,44,0,0,0,2014
Cyrus Gray,7655,HB,3,KC,8,31,0,0,0,2014
Jimmy Garoppolo,8697,QB,4,NE,8,-4,0,0,0,2014
Jed Collins,4743,FB,6,DET,8,19,0,0,0,2014
Corey Brown,8986,WR,6,CAR,8,95,2,45,47.4,2014
Shaun Hill,1255,QB,6,SL,7,-4,0,0,0,2014
Alfonso Smith,5877,HB,3,SF,7,19,0,0,0,2014
Charlie Whitehurst,3026,QB,6,TEN,7,-3,0,0,0,2014
Trey Watts,8950,HB,2,SL,7,30,0,0,0,2014
Brandin Cooks,8655,WR,5,NO,7,73,2,46,63,2014
Henry Hynoski,6666,FB,5,NYG,7,13,0,0,0,2014
Robert Hughes,6564,HB,7,ARZ,7,11,0,0,0,2014
Mohamed Sanu,7084,WR,6,CIN,7,51,1,26,51,2014
Eli Manning,1722,QB,3,NYG,6,-7,0,0,0,2014
Josh McCown,1085,QB,6,TB,6,0,0,0,,2014
Fitzgerald Toussaint,9244,HB,2,BLT,6,12,0,0,0,2014
Jeremy Stewart,7534,HB,3,DEN,6,22,1,16,72.7,2014
Alshon Jeffery,7048,WR,4,CHI,6,33,0,0,0,2014
Brock Osweiler,7059,QB,4,DEN,6,-6,0,0,0,2014
Frank Summers,5093,FB,5,BUF,6,17,0,0,0,2014
Kirk Cousins,7102,QB,4,WAS,6,16,0,0,0,2014
Odell Beckham Jr.,8647,WR,6,NYG,6,35,0,0,0,2014
Devin Hester,3002,WR,6,ATL,6,36,1,20,55.6,2014
E.J. Manuel,7797,QB,2,BUF,6,1,0,0,0,2014
John Conner,5662,FB,5,NYJ,6,20,0,0,0,2014
Bruce Miller,6363,FB,5,SF,6,9,0,0,0,2014
Bruce Ellington,8741,WR,4,SF,6,28,1,15,53.6,2014
Jake Locker,6160,QB,3,TEN,5,-4,0,0,0,2014
Damaris Johnson,7530,WR,5,HST,5,19,0,0,0,2014
Derek Anderson,2430,QB,2,CAR,5,4,0,0,0,2014
Connor Shaw,9036,QB,1,CLV,5,1,0,0,0,2014
Matt Cassel,2447,QB,2,MIN,5,-4,0,0,0,2014
Jarius Wright,7118,WR,5,MIN,5,71,3,71,100,2014
LaMichael James,7063,HB,3,MIA,5,9,0,0,0,2014
Ryan Mallett,6226,QB,3,HST,5,-2,0,0,0,2014
Case Keenum,7323,QB,2,HST,5,4,0,0,0,2014
Matt Ryan,4317,QB,4,ATL,5,-4,0,0,0,2014
Golden Tate,5585,WR,4,DET,5,30,0,0,0,2014
Trey Burton,9185,TE,1,PHI,5,10,0,0,0,2014
Tom Savage,8770,QB,2,HST,5,-6,0,0,0,2014
Jackie Battle,3885,FB,4,TEN,5,9,0,0,0,2014
Zach Mettenberger,8813,QB,3,TEN,4,-4,0,0,0,2014
Antonio Brown,5718,WR,3,PIT,4,13,0,0,0,2014
Jeremy Kerley,6305,WR,3,NYJ,4,86,2,75,87.2,2014
Dwayne Harris,6328,WR,4,DAL,4,7,0,0,0,2014
Tyrod Taylor,6332,QB,1,BLT,4,-3,0,0,0,2014
Kendall Wright,7026,WR,3,TEN,4,54,1,38,70.4,2014
Brandon Weeden,7028,QB,2,DAL,4,-3,0,0,0,2014
Mike Wallace,5007,WR,4,MIA,4,17,0,0,0,2014
Jerome Felton,4460,FB,3,MIN,4,27,1,21,77.8,2014
DeSean Jackson,4363,WR,4,WAS,4,7,0,0,0,2014
Markus Wheaton,7860,WR,3,PIT,4,19,0,0,0,2014
Michael Cox,8036,HB,2,NYG,4,33,1,17,51.5,2014
Johnny Manziel,8657,QB,2,CLV,4,1,0,0,0,2014
Donte Moncrief,8725,WR,4,IND,4,17,0,0,0,2014
Carson Palmer,1317,QB,3,ARZ,4,-6,0,0,0,2014
Ted Ginn Jr.,3625,WR,3,ARZ,3,6,0,0,0,2014
Chase Daniel,5214,QB,2,KC,3,6,0,0,0,2014
John Brown,8726,WR,3,ARZ,3,-6,0,0,0,2014
Jorvorskie Lane,7002,FB,3,TB,3,58,1,54,93.1,2014
Jacoby Jones,3689,WR,3,BLT,3,16,0,0,0,2014
Matt Barkley,7880,QB,1,PHI,3,0,0,0,,2014
Martavis Bryant,8753,WR,2,PIT,3,12,0,0,0,2014
Chris Thompson,7936,HB,1,WAS,3,12,0,0,0,2014
Erik Lorig,5775,FB,2,NO,3,4,0,0,0,2014
James Develin,6142,FB,2,NE,3,5,0,0,0,2014
Andrew Hawkins,6125,WR,2,CLV,3,15,0,0,0,2014
James Wright,8873,WR,3,CIN,3,30,0,0,0,2014
Brandon Tate,5006,WR,3,CIN,3,21,0,0,0,2014
Marqise Lee,8674,WR,2,JAX,3,9,0,0,0,2014
Travis Benjamin,7100,WR,3,CLV,3,11,0,0,0,2014
Marquise Goodwin,7859,WR,3,BUF,3,8,0,0,0,2014
Eddie Royal,4356,WR,2,SD,3,14,1,15,107.1,2014
Jermaine Kearse,7428,WR,1,SEA,2,15,0,0,0,2014
Josh Morgan,4488,WR,2,CHI,2,30,1,21,70,2014
Kenny Britt,4953,WR,2,SL,2,14,0,0,0,2014
Ray Agnew,9141,FB,2,CLV,2,2,0,0,0,2014
T.Y. Hilton,7092,WR,2,IND,2,20,1,15,75,2014
Bruce Gradkowski,3139,QB,1,PIT,2,-2,0,0,0,2014
Anthony Sherman,6288,FB,2,KC,2,8,0,0,0,2014
A.J. Green,6156,WR,2,CIN,2,7,0,0,0,2014
Mike Glennon,7854,QB,2,TB,2,2,0,0,0,2014
Kenbrell Thompkins,8126,WR,2,OAK,2,5,0,0,0,2014
Jamize Olawale,7572,FB,2,OAK,2,0,0,0,,2014
Chad Henne,4371,QB,2,JAX,2,10,0,0,0,2014
Matt Moore,4018,QB,1,MIA,2,-2,0,0,0,2014
Matt McGloin,8374,QB,1,OAK,2,3,0,0,0,2014
Taylor Gabriel,9002,WR,1,CLV,2,-2,0,0,0,2014
Ryan Nassib,7892,QB,1,NYG,2,-3,0,0,0,2014
Brandon LaFell,5602,WR,1,NE,2,13,0,0,0,2014
A.J. Jenkins,7034,WR,2,KC,2,-2,0,0,0,2014
Jeremy Ross,6476,WR,2,DET,2,-1,0,0,0,2014
Jarvis Landry,8698,WR,2,MIA,2,-4,0,0,0,2014
Andre Roberts,5612,WR,2,WAS,2,21,1,19,90.5,2014
Virgil Green,6356,TE,2,DEN,2,3,0,0,0,2014
Evan Smith,5390,C,1,TB,2,0,0,0,,2014
Sammy Watkins,8639,WR,2,BUF,2,8,0,0,0,2014
Joe McKnight,5636,HB,1,KC,1,3,0,0,0,2014
Christian Ponder,6164,QB,1,MIN,1,1,0,0,0,2014
Will Tukuafu,7764,FB,1,SEA,1,2,0,0,0,2014
Rob Housler,6221,TE,1,ARZ,1,1,0,0,0,2014
Julio Jones,6158,WR,1,ATL,1,1,0,0,0,2014
Stedman Bailey,7873,WR,1,SL,1,13,0,0,0,2014
Jordan Palmer,3821,QB,1,TEN,1,-1,0,0,0,2014
Quinton Patton,7910,WR,1,SF,1,20,1,20,100,2014
Will Johnson,7639,FB,1,PIT,1,0,0,0,,2014
Kenny Stills,7926,WR,1,NO,1,-2,0,0,0,2014
DeAndre Presley,7548,WR,1,CAR,1,-2,0,0,0,2014
Jalen Parmele,4490,HB,1,ARZ,1,0,0,0,,2014
Tauren Poole,7522,HB,1,CAR,1,0,0,0,,2014
Tommy Bohanon,7997,FB,1,NYJ,1,3,0,0,0,2014
Charles Johnson,7998,WR,1,MIN,1,-11,0,0,0,2014
Jason Avant,3054,WR,1,KC,1,1,0,0,0,2014
Matt Simms,7423,QB,1,NYJ,1,2,0,0,0,2014
Derek Carrier,7406,TE,1,SF,1,2,0,0,0,2014
Tim Wright,8392,TE,1,NE,1,-2,0,0,0,2014
Chris Owusu,7276,WR,1,NYJ,1,23,1,23,100,2014
Edwin Baker,7231,HB,1,NO,1,2,0,0,0,2014
Vernon Davis,2951,TE,1,SF,1,4,0,0,0,2014
Rishard Matthews,7211,WR,1,MIA,1,3,0,0,0,2014
Michael Crabtree,4933,WR,1,SF,1,4,0,0,0,2014
Nick Toon,7122,WR,1,NO,1,4,0,0,0,2014
Chris Givens,7096,WR,1,SL,1,4,0,0,0,2014
Jared Cook,5012,TE,1,SL,1,0,0,0,,2014
Josh Huff,8721,WR,1,PHI,1,7,0,0,0,2014
Bryan Walters,6139,WR,1,SEA,1,-2,0,0,0,2014
Scott Wells,1965,C,1,SL,1,0,0,0,,2014
Joe Morgan,6696,WR,1,NO,1,67,1,67,100,2014
Ricardo Lockette,6622,WR,1,SEA,1,2,0,0,0,2014
Doug Baldwin,6615,WR,1,SEA,1,8,0,0,0,2014
Dane Sanzenbacher,6570,WR,1,CIN,1,-1,0,0,0,2014
Chris Williams,5321,WR,1,CHI,1,-8,0,0,0,2014
Josh Brown,1520,K,1,NYG,1,0,0,0,,2014
Anquan Boldin,1369,WR,1,SF,1,4,0,0,0,2014
Robert Herron,8820,WR,1,TB,1,0,0,0,,2014
Denarius Moore,6300,WR,1,OAK,1,1,0,0,0,2014
Greg Salas,6264,WR,1,NYJ,1,20,1,20,100,2014
Jimmy Clausen,5573,QB,1,CHI,1,3,0,0,0,2014
Jerrel Jernigan,6235,WR,1,NYG,1,-2,0,0,0,2014
Solomon Patton,8998,WR,1,TB,1,19,1,19,100,2014
Ryan Hewitt,9107,FB,1,CIN,1,0,0,0,,2014
