player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Walt Aikens,8760,S,11,MIA,450,7,170,273,50.3,49.3,51.3,52.0,53.5,0,0,0,0,0,15,3,5,2,0,16,9,127,14.1,41,46,3,0,0,121.6,1,0
Pierre Desir,8762,CB,12,CLV,392,0,163,229,47.3,72.0,70.3,,42.2,0,0,0,0,0,35,1,3,4,0,46,31,505,16.3,140,66,3,0,6,125.7,4,1
Tre Boston,8763,S,12,CAR,223,3,53,167,73.4,71.7,78.8,55.2,70.1,0,0,0,0,0,17,1,2,5,0,6,5,41,8.2,15,15,0,0,1,95.1,0,0
Dontae Johnson,8764,CB,12,SF,369,14,116,239,64.8,67.2,58.3,59.5,65.2,3,0,0,3,0,25,2,3,2,0,37,22,262,11.9,90,41,1,0,4,90.1,0,0
Brock Vereen,8766,S,2,CHI,4,0,1,3,41.3,60.0,22.3,,43.1,0,0,0,0,0,0,0,1,0,0,1,1,30,30.0,18,30,1,0,0,158.3,0,0
Kevin Pierre-Louis,8767,LB,8,SEA,104,7,45,52,52.0,41.1,57.4,71.7,59.7,2,0,1,1,0,5,5,2,1,0,6,4,71,17.8,6,22,0,0,1,106.9,0,0
Nevin Lawson,8768,CB,11,DET,567,2,209,356,52.8,70.3,66.2,54.0,50.1,0,0,0,0,0,43,1,6,11,0,69,39,353,9.1,124,28,3,0,4,85.0,6,2
Brent Urban,8769,DI,6,BLT,94,43,51,0,59.7,61.1,73.5,55.2,,4,1,0,3,0,4,3,0,4,0,0,0,0,,0,,0,0,0,0.0,0,0
Taylor Hart,8776,DI,14,PHI,323,149,174,0,41.9,49.3,68.2,47.0,60.1,3,0,1,2,0,17,5,1,9,0,0,0,0,,0,,0,0,0,0.0,0,0
Telvin Smith Sr.,8779,LB,14,JAX,994,51,375,568,67.3,61.2,69.7,90.7,62.8,11,3,0,8,2,109,24,16,61,2,86,68,666,9.8,347,44,5,1,4,113.5,3,0
Ricardo Allen,8782,S,15,ATL,839,2,340,497,68.4,58.4,65.4,76.8,72.2,2,1,0,1,0,52,4,10,10,0,23,16,196,12.3,103,46,2,3,3,85.0,2,0
Bene Benwikere,8783,CB,13,CAR,785,22,211,552,64.4,75.8,36.4,93.4,56.4,6,1,0,5,0,47,9,13,18,1,87,60,580,9.7,287,53,3,0,9,98.8,3,0
Aaron Lynch,8785,ED,14,SF,795,369,321,105,70.9,62.7,55.5,70.1,72.1,62,7,13,42,0,24,4,6,20,0,11,10,73,7.3,40,23,1,0,0,124.6,2,0
Avery Williamson,8786,LB,15,TEN,926,140,406,380,60.9,70.2,75.5,58.2,50.7,15,4,2,9,0,74,22,8,44,0,37,30,308,10.3,158,31,5,1,0,129.7,0,0
Jeremiah George,8789,LB,1,TB,1,0,1,0,90.4,71.2,70.4,,,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0
Caraun Reid,8793,DI,14,DET,532,304,225,3,56.5,57.3,69.1,52.0,63.2,18,2,3,13,0,20,10,3,14,0,0,0,0,,0,,0,0,0,0.0,0,0
Chris Smith,8794,ED,6,JAX,155,96,58,1,56.8,57.6,38.1,58.6,60.0,9,1,2,6,1,8,2,3,6,0,0,0,0,,0,,0,0,0,0.0,1,0
Ed Stinson,8795,DI,15,ARZ,376,250,126,0,50.6,54.3,75.1,48.4,,10,1,2,7,0,9,1,1,6,0,0,0,0,,0,,0,0,0,0.0,0,0
Ed Reynolds Jr.,8797,S,6,PHI,312,0,100,212,53.6,35.0,35.8,,59.9,0,0,0,0,0,18,4,8,2,0,3,2,41,20.5,9,30,0,1,0,70.1,0,0
Ryan Carrethers,8800,DI,14,SD,220,94,126,0,53.4,50.3,58.7,59.6,,4,0,1,3,0,10,4,1,8,0,0,0,0,,0,,0,0,0,0.0,0,0
Jonathan Newsome,8801,ED,13,IND,345,135,150,60,49.0,47.4,28.3,52.8,62.1,8,1,1,6,0,12,4,8,8,0,4,2,11,5.5,10,8,0,0,1,56.3,3,0
Keith Reaser,8805,CB,8,SF,80,0,36,44,59.6,55.5,65.7,,60.8,0,0,0,0,0,6,0,1,2,0,7,4,34,8.5,45,24,0,0,0,69.9,0,0
Jordan Tripp,8806,LB,4,JAX,96,2,40,54,63.7,49.4,85.8,55.3,71.9,0,0,0,0,0,6,1,0,2,0,2,2,27,13.5,3,20,0,0,0,118.8,0,0
Devon Kennard,8809,LB,9,NYG,488,82,212,194,61.3,70.4,63.7,55.8,51.7,10,0,5,5,1,39,5,5,19,0,30,24,236,9.8,160,25,2,1,2,107.8,1,0
Jeoffrey Pagan,8812,ED,6,HST,44,28,16,0,57.8,63.8,,52.9,,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Kenneth Acker,8815,CB,14,SF,806,3,341,462,63.6,81.5,63.0,54.0,59.1,0,0,0,0,0,55,8,8,14,0,68,46,714,15.5,239,66,4,3,1,103.4,2,0
Antone Exum Jr.,8817,S,4,MIN,140,1,63,76,38.7,91.8,38.6,60.0,29.6,0,0,0,0,0,8,0,3,2,1,7,6,121,20.2,84,53,1,0,0,158.3,2,0
Demetri Goodson,8832,CB,7,GB,73,0,25,48,43.0,67.8,66.7,,43.1,0,0,0,0,0,4,0,0,0,0,7,6,114,19.0,15,39,1,0,1,158.3,2,1
Zach Moore,8833,ED,1,MIN,6,6,0,0,52.9,,,53.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Eric Pinkins,8842,LB,1,SEA,2,0,1,1,61.2,60.0,78.1,,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
IK Enemkpali,8844,ED,11,BUF,146,71,65,10,53.8,61.5,58.5,48.2,52.3,0,0,0,0,0,12,0,1,8,0,2,2,18,9.0,20,13,1,0,0,143.8,0,0
Dan McCullers,8849,DI,11,PIT,107,60,46,1,70.2,73.1,73.1,57.3,60.4,3,0,0,3,0,4,2,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0
Andre Hal,8850,S,14,HST,729,3,254,472,70.7,49.2,41.4,55.3,77.3,1,0,0,1,0,28,5,10,6,0,32,14,222,15.9,83,50,2,4,4,48.7,1,0
T.J. Carrie,8853,CB,15,OAK,933,6,303,624,54.9,58.1,45.7,51.0,54.6,2,0,0,2,0,50,8,14,13,1,76,47,587,12.5,221,36,2,1,7,89.1,8,1
Shamar Stephen,8854,DI,5,MIN,65,24,41,0,44.1,45.6,69.4,51.9,,0,0,0,0,0,1,1,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Randell Johnson,8855,LB,2,BUF,14,1,9,4,61.2,57.8,82.0,60.0,63.5,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0
Brandon Watts,8857,LB,4,MIN,32,0,17,15,52.8,44.6,84.3,,65.2,0,0,0,0,0,2,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0
Beau Allen,8858,DI,16,PHI,341,159,182,0,61.3,59.3,76.4,59.2,60.0,6,0,0,6,1,18,9,1,11,0,0,0,0,,0,,0,0,0,0.0,0,0
Trevor Reilly,8867,ED,8,NYJ,79,59,18,2,56.0,61.2,69.5,52.8,62.1,3,1,1,1,0,2,0,0,2,1,0,0,0,,0,,0,0,0,0.0,0,0
Terrence Fede,8868,ED,14,MIA,211,105,105,1,49.2,58.0,76.8,53.6,47.5,5,0,1,4,0,10,1,1,8,0,0,0,0,,0,,0,0,0,0.0,2,1
Shelby Harris,8869,DI,7,OAK,145,89,56,0,65.4,61.3,58.3,63.6,60.0,11,1,1,9,0,8,2,2,6,0,0,0,0,,0,,0,0,0,0.0,0,0
Jeff Janis,8870,WR,1,GB,1,1,0,0,60.0,,90.9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,2,1
Corey Nelson,8876,LB,12,DEN,65,5,28,32,71.9,86.5,87.7,62.9,54.8,1,1,0,0,0,8,2,0,6,0,4,4,26,6.5,10,9,0,0,0,93.8,1,0
Ken Bishop,8885,DI,2,DAL,35,15,20,0,45.0,47.2,,53.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Terrance Mitchell,8888,CB,5,DAL,132,6,54,72,80.3,73.9,84.6,66.6,78.9,2,1,0,1,0,8,3,0,6,1,13,8,74,9.3,58,44,2,1,1,84.6,0,0
Lonnie Ballentine,8890,CB,2,HST,26,4,3,19,60.3,63.6,76.8,52.4,60.6,0,0,0,0,0,3,0,0,1,0,4,2,16,8.0,13,8,0,0,0,60.4,0,0
Howard Jones,8909,ED,12,TB,390,275,110,5,54.9,54.6,38.4,53.8,62.9,23,6,2,15,0,5,0,3,10,1,1,1,2,2.0,0,2,0,0,0,79.2,3,0
Dewey McDonald,8913,S,1,OAK,1,1,0,0,60.0,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Davon Coleman,8917,DI,2,DAL,44,29,15,0,47.9,47.9,,54.6,,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Max Bullough,8919,LB,7,HST,114,12,41,61,70.1,64.5,76.4,47.1,72.5,0,0,0,0,0,14,1,1,5,0,10,8,81,10.1,44,30,0,0,0,100.4,0,0
Brock Coyle,8929,LB,2,SEA,15,4,2,9,53.8,62.3,79.4,53.7,55.1,1,0,0,1,0,3,0,0,1,0,3,3,27,9.0,7,15,0,0,0,104.2,0,0
Kerry Wynn,8938,ED,15,NYG,581,315,259,7,57.3,66.1,64.2,45.5,61.5,13,0,3,10,1,34,12,4,20,0,1,1,5,5.0,0,5,0,0,0,87.5,0,0
Jamie Meder,8940,DI,16,CLV,388,166,221,1,71.9,64.4,76.8,71.3,62.6,17,1,4,12,0,20,7,1,14,0,0,0,0,,0,,0,0,0,0.0,0,0
Kimario McFadden,8952,S,1,TB,3,0,2,1,47.1,60.0,23.3,,50.5,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,0,0,0,0.0,0,0
