year,player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
2015,Charles Woodson,330,S,16,OAK,675,19,12,146,66,0,5,47.1,0.22,35.5,56.3
2015,Marqueston Huff,8757,S,8,TEN,56,4,1,35,0,1,0,103.1,0.63,14,56
2015,Rodney McLeod,7271,S,16,SL,652,21,12,157,65,1,1,76.9,0.24,31,54.3
2015,Darrell Stuckey,5634,S,11,SD,54,3,1,14,0,0,0,49.3,0.26,18,54
2015,Glover Quin,5035,S,16,DET,533,13,10,179,63,2,4,118.3,0.34,41,53.3
2015,Harrison Smith,7641,S,13,MIN,437,18,9,89,41,1,2,43.3,0.2,24.3,48.6
2015,Anthony Harris,9895,S,3,MIN,91,4,2,27,7,0,0,71.9,0.3,22.8,45.5
2015,Demontre Hurst,8359,S,4,CHI,45,2,1,0,1,0,0,56.3,0,22.5,45
2015,J.J. Wilcox,7861,S,16,DAL,432,16,10,94,47,0,1,52.6,0.22,27,43.2
2015,Shamiel Gary,9231,S,6,MIA,43,3,1,3,1,0,0,42.4,0.07,14.3,43
2015,Colt Anderson,5242,S,8,IND,85,3,2,42,20,0,0,109.7,0.49,28.3,42.5
2015,Earl Thomas III,5539,S,16,SEA,592,24,14,205,42,3,5,86.3,0.35,24.7,42.3
2015,Morgan Burnett,5596,S,11,GB,379,18,9,109,33,1,0,87.5,0.29,21.1,42.1
2015,Reggie Nelson,3637,S,16,CIN,640,32,16,283,85,2,8,61.8,0.44,20,40
2015,Chris Conte,6245,S,14,TB,406,22,11,86,35,2,2,52.5,0.21,18.5,36.9
2015,Chris Prosinski,6273,S,7,CHI,182,5,5,123,80,1,0,158.3,0.68,36.4,36.4
2015,Jeremiah Attaochu,8685,ED,15,SD,36,3,1,23,23,0,0,61.8,0.64,12,36
2015,Ha Ha Clinton-Dix,8656,S,16,GB,604,33,17,243,101,1,2,60.5,0.4,18.3,35.5
2015,Rashad Johnson,5018,S,14,ARZ,514,22,15,220,75,0,5,61,0.43,23.4,34.3
2015,Steven Nelson,9531,CB,5,KC,33,1,1,11,8,0,0,112.5,0.33,33,33
2015,Neiron Ball,9594,LB,5,OAK,33,3,1,6,2,0,0,42.4,0.18,11,33
2015,A.J. Tarpley,9738,LB,7,BUF,33,3,1,7,4,0,2,2.8,0.21,11,33
2015,Quintin Demps,4431,S,14,HST,446,25,14,180,35,2,1,88.8,0.4,17.8,31.9
2015,Tre Boston,8763,S,12,CAR,159,6,5,41,15,0,0,95.1,0.26,26.5,31.8
2015,Andre Hal,8850,S,14,HST,443,32,14,222,83,2,4,48.7,0.5,13.8,31.6
2015,Omar Bolden,7101,S,4,DEN,31,3,1,22,4,0,0,60.4,0.71,10.3,31
2015,Elvis Dumervil,3071,ED,16,BLT,31,1,1,20,28,0,0,118.8,0.65,31,31
2015,Darrin Walls,6553,CB,5,NYJ,92,14,3,16,3,2,0,79.2,0.17,6.6,30.7
2015,George Iloka,7159,S,12,CIN,390,20,13,191,69,2,1,108.5,0.49,19.5,30
2015,Bradley McDougald,8220,S,16,TB,476,26,16,206,78,1,2,67.1,0.43,18.3,29.8
2015,Josh Bush,7176,S,8,DEN,149,6,5,73,33,0,1,77.8,0.49,24.8,29.8
2015,Peyton Thompson,7235,CB,5,JAX,58,4,2,22,20,0,0,66.7,0.38,14.5,29
2015,Ricardo Allen,8782,S,15,ATL,464,23,16,196,103,2,3,85,0.42,20.2,29
2015,Andrew Sendejo,6118,S,13,MIN,462,26,16,220,36,1,1,85.4,0.48,17.8,28.9
2015,Adrian Amos,9575,S,16,CHI,573,25,20,225,88,1,0,117.5,0.39,22.9,28.7
2015,Josh Evans,7951,S,14,JAX,370,17,13,109,53,0,0,92.5,0.29,21.8,28.5
2015,Jonathan Newsome,8801,ED,13,IND,57,4,2,11,10,0,0,56.3,0.19,14.3,28.5
2015,Kurt Coleman,5767,S,15,CAR,654,36,23,383,148,2,7,78.6,0.59,18.2,28.4
2015,Kendrick Lewis,5659,S,15,BLT,507,29,18,242,160,6,0,128.2,0.48,17.5,28.2
2015,Da'Norris Searcy,6252,S,15,TEN,451,27,16,172,49,1,1,74.9,0.38,16.7,28.2
2015,Bacarri Rambo,7972,S,14,BUF,395,22,14,138,57,4,1,101.9,0.35,18,28.2
2015,Walt Aikens,8760,S,11,MIA,250,16,9,127,41,3,0,121.6,0.51,15.6,27.8
2015,Brandon Meriweather,3640,S,13,NYG,471,29,17,380,128,4,2,113.9,0.81,16.2,27.7
2015,Jerry Hughes,5556,ED,16,BUF,55,7,2,16,9,0,0,39.6,0.29,7.9,27.5
2015,Roman Harper,2988,S,16,CAR,599,37,22,347,135,3,0,117.7,0.58,16.2,27.2
2015,Jordan Poyer,8000,S,14,CLV,240,14,9,93,35,2,2,83.3,0.39,17.1,26.7
2015,Justin Houston,6222,ED,11,KC,80,5,3,12,19,0,2,25,0.15,16,26.7
2015,Joe Thomas,9272,LB,14,GB,157,13,6,38,18,1,0,78.7,0.24,12.1,26.2
2015,Shawn Williams,7865,S,14,CIN,338,23,13,91,46,1,2,43.9,0.27,14.7,26
2015,Donte Whitner,2953,S,14,CLV,451,32,18,228,105,2,0,99.5,0.51,14.1,25.1
2015,Frank Zombo,5945,ED,7,KC,25,1,1,10,6,1,0,147.9,0.4,25,25
2015,Akeem Dent,6243,LB,5,HST,50,5,2,15,15,0,0,47.9,0.3,10,25
2015,Sheldon Price,8479,CB,1,BLT,25,3,1,12,5,0,0,46.5,0.48,8.3,25
2015,Jordan Tripp,8806,LB,3,JAX,50,2,2,27,3,0,0,118.8,0.54,25,25
2015,Walter Thurmond,5635,S,16,PHI,672,37,27,321,129,6,3,104.8,0.48,18.2,24.9
2015,Eric Berry,5530,S,16,KC,653,40,27,296,101,3,2,93.3,0.45,16.3,24.2
2015,Jabaal Sheard,6189,ED,13,NE,24,1,1,5,9,0,0,87.5,0.21,24,24
2015,Jaylen Watkins,8736,CB,3,PHI,48,10,2,31,0,0,0,40,0.65,4.8,24
2015,Tashaun Gipson Sr.,7288,S,13,CLV,425,23,18,252,96,4,2,115.7,0.59,18.5,23.6
2015,Robert Blanton,7136,S,9,MIN,117,6,5,98,8,0,0,118.8,0.84,19.5,23.4
2015,Ramik Wilson,9551,LB,3,KC,46,3,2,40,18,0,0,109.7,0.87,15.3,23
2015,Sheldon Richardson,7794,DI,11,NYJ,23,2,1,21,27,0,0,87.5,0.91,11.5,23
2015,Cody Riggs,10108,CB,8,TEN,115,11,5,20,20,0,0,52.5,0.17,10.5,23
2015,Josh McNary,8073,LB,5,IND,46,2,2,12,4,0,0,91.7,0.26,23,23
2015,Will Hill III,6999,S,16,BLT,524,36,23,330,170,2,1,100.5,0.63,14.6,22.8
2015,Husain Abdullah,4652,S,11,KC,295,20,13,136,86,2,0,117.9,0.46,14.8,22.7
2015,Darian Stewart,5820,S,15,DEN,490,32,22,284,134,3,1,114.6,0.58,15.3,22.3
2015,Devin McCourty,5552,S,14,NE,554,37,25,259,84,4,1,112.3,0.47,15,22.2
2015,Eric Reid,7799,S,16,SF,576,41,26,247,108,3,0,104.4,0.43,14,22.2
2015,D.J. Swearinger Sr.,7838,S,9,ARZ,132,7,6,141,89,3,0,158.3,1.07,18.9,22
2015,Todd Davis,9007,LB,8,DEN,44,3,2,7,3,1,0,109.7,0.16,14.7,22
2015,Marcus Gilchrist,6202,S,16,NYJ,646,45,30,291,108,1,3,64.2,0.45,14.4,21.5
2015,Jahleel Addae,8117,S,13,SD,406,29,19,258,122,1,0,105.2,0.64,14,21.4
2015,Robert Mathis,1447,ED,15,IND,42,3,2,43,39,0,0,109.7,1.02,14,21
2015,Antoine Bethea,3152,S,7,SF,251,16,12,186,57,3,0,152.6,0.74,15.7,20.9
2015,Jerod Mayo,4324,LB,15,NE,166,12,8,86,45,0,0,87.5,0.52,13.8,20.8
2015,Craig Mager,9516,CB,6,SD,144,16,7,103,17,1,0,86.2,0.72,9,20.6
2015,Kelcie McCray,7396,S,6,SEA,143,10,7,43,15,0,0,78.3,0.3,14.3,20.4
2015,Aaron Donald,8648,DI,16,SL,20,2,1,15,19,0,0,75,0.75,10,20
2015,Chandler Jones,7027,ED,15,NE,39,3,2,19,24,0,1,44.4,0.49,13,19.5
2015,Patrick Peterson,6157,CB,16,ARZ,605,65,31,351,108,2,2,61.8,0.58,9.3,19.5
2015,T.J. Ward,5563,S,12,DEN,383,34,20,186,96,1,0,83.7,0.49,11.3,19.2
2015,Richard Sherman,6306,CB,16,SEA,596,64,31,433,94,2,2,68,0.73,9.3,19.2
2015,T.J. McDonald,7852,S,11,SL,401,28,21,214,114,2,0,120.2,0.53,14.3,19.1
2015,Everson Griffen,5624,ED,15,MIN,19,2,1,19,8,0,0,83.3,1,9.5,19
2015,Jon Beason,3641,LB,4,NYG,57,3,3,25,11,0,0,101.4,0.44,19,19
2015,Willie Young,5736,ED,15,CHI,38,3,2,20,8,0,1,45.8,0.53,12.7,19
2015,Michael Thomas,7279,S,16,MIA,336,26,18,134,46,2,0,106.9,0.4,12.9,18.7
2015,Connor Barwin,4969,ED,16,PHI,167,15,9,108,54,0,0,82.1,0.65,11.1,18.6
2015,Dwight Lowery,4427,S,16,IND,595,43,32,327,150,0,4,57,0.55,13.8,18.6
2015,Taylor Mays,5574,S,11,OAK,204,22,11,98,73,1,0,77.5,0.48,9.3,18.5
