player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Leonte Carroo,10720,WR,11,MIA,43,0,0,43,0,0,0,0,0,54.9,,61.4,0,0,0,0,2,0
Kyler Fackrell,10722,ED,1,GB,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
C.J. Prosise,10724,HB,5,SEA,9,0,6,3,0,0,0,0,0,63.0,83.0,60.0,0,0,0,0,0,0
Jacoby Brissett,10725,QB,16,IND,966,591,0,375,0,0,0,0,0,62.4,,60.6,11,5,7,23,2,0
Cody Kessler,10727,QB,3,CLV,46,31,0,15,0,0,0,0,0,62.1,,60.0,0,1,1,2,0,0
Nick Vannett,10728,TE,15,SEA,182,0,48,134,0,0,0,0,0,58.8,68.1,57.4,0,2,4,6,0,0
Graham Glasgow,10729,G,16,DET,1042,0,681,361,0,718,335,0,0,71.1,71.8,67.0,3,6,17,26,4,0
Rees Odhiambo,10731,T,7,SEA,484,0,318,166,495,0,0,0,0,41.2,40.3,39.8,2,6,27,35,1,0
Parker Ehinger,10739,G,1,KC,66,0,41,25,0,0,0,68,0,44.0,31.7,56.3,1,0,3,4,1,0
Eric Murray,10740,S,1,KC,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,4,0
Chris Moore,10741,WR,12,BLT,128,0,0,128,0,0,0,0,0,59.0,,60.5,0,0,0,0,0,0
Tyler Higbee,10744,TE,16,LA,466,0,101,365,0,0,0,0,1,63.2,52.2,66.7,1,0,12,13,5,0
Miles Killebrew,10745,S,1,DET,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Ricardo Louis,10748,WR,16,CLV,168,0,1,167,0,0,0,0,0,53.1,62.3,62.6,0,0,0,0,1,0
Pharoh Cooper,10751,WR,16,LA,118,0,6,112,0,0,0,0,0,63.0,77.5,64.2,0,0,0,0,0,0
Tyler Ervin,10753,WR,4,HST,19,0,1,18,0,0,0,0,0,62.5,20.7,61.1,0,0,1,1,0,0
Jerald Hawkins,10757,T,5,PIT,47,0,9,38,1,0,0,0,0,64.3,78.2,60.3,0,0,0,0,0,0
Demarcus Robinson,10760,WR,16,KC,203,0,1,202,0,0,0,0,0,51.9,62.4,63.3,0,0,0,0,1,0
Evan Boehm,10762,G,10,ARZ,588,0,392,196,0,0,0,596,0,61.8,48.8,69.1,2,7,16,25,5,1
Blake Martinez,10765,LB,1,GB,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,5,1
Dak Prescott,10769,QB,16,DAL,1021,606,0,415,0,0,0,0,0,72.2,,60.0,4,5,8,17,1,1
Devontae Booker,10770,HB,13,DEN,33,0,29,4,0,0,0,0,0,64.4,79.2,60.0,1,0,0,1,1,0
Seth DeValve,10772,TE,16,CLV,175,0,41,134,0,0,0,0,0,59.3,29.6,54.5,0,3,2,5,5,1
DeAndre Washington,10777,HB,15,OAK,31,0,25,6,0,1,0,0,0,57.7,83.8,60.4,0,0,0,0,0,0
Connor McGovern,10778,G,9,DEN,418,0,247,171,0,0,0,424,0,48.9,57.8,49.5,1,3,13,17,3,0
Caleb Benenoch,10782,T,10,TB,359,0,221,138,2,0,0,1,354,50.8,45.2,55.2,4,3,10,17,3,1
Paul Perkins,10783,HB,8,NYG,19,0,13,6,0,0,0,0,0,44.9,56.5,60.0,0,0,1,1,0,0
Jordan Howard,10784,HB,16,CHI,83,0,57,26,0,0,0,0,0,63.9,75.6,59.1,1,0,2,3,0,0
Joe Dahl,10785,G,3,DET,182,0,118,64,0,185,0,0,0,70.6,58.1,73.0,2,1,10,13,0,0
Wendell Smallwood,10787,HB,8,PHI,30,0,25,5,0,0,0,0,0,61.2,29.5,60.0,1,0,4,5,2,1
Joe Haeg,10789,T,16,IND,987,0,595,392,0,0,0,242,770,64.1,66.0,58.9,6,6,35,47,4,0
Brandon Shell,10792,T,12,NYJ,696,0,431,265,0,0,0,0,706,64.7,65.3,61.3,6,1,16,23,2,0
Christian Westerman,10795,G,2,CIN,87,0,52,35,0,88,0,0,0,56.6,60.4,54.2,1,0,1,2,0,0
Kevin Hogan,10796,QB,4,CLV,129,95,0,34,0,0,0,0,0,50.5,,60.0,2,0,2,4,2,0
Trevor Davis,10797,WR,13,GB,25,0,0,25,0,0,0,0,0,59.0,,40.0,0,0,0,0,1,1
Halapoulivaati Vaitai,10798,T,16,PHI,828,0,487,341,704,0,0,0,95,56.6,50.0,59.6,9,10,20,39,6,0
Tyreek Hill,10799,WR,15,KC,230,1,1,228,0,0,0,0,0,81.4,61.6,69.9,0,0,0,0,3,1
Spencer Drango,10802,T,11,CLV,605,0,402,203,604,0,0,0,0,61.2,63.7,51.1,11,4,20,35,0,0
Alex Collins,10805,HB,15,BLT,54,0,27,27,0,0,0,0,0,83.4,39.4,59.8,0,0,4,4,1,0
Rashard Higgins,10806,WR,15,CLV,161,0,1,160,0,0,0,0,0,50.4,62.3,79.3,0,0,0,0,3,0
Andy Janovich,10810,FB,16,DEN,129,0,13,116,0,0,0,0,0,63.8,57.8,64.8,0,0,0,0,2,1
Jerell Adams,10818,TE,15,NYG,98,0,8,90,0,1,0,0,0,59.3,44.2,63.4,1,0,0,1,2,0
Jakeem Grant,10820,WR,13,MIA,37,0,0,37,0,0,0,0,0,70.7,,45.2,0,0,0,0,1,0
Nate Sudfeld,10821,QB,1,PHI,40,29,0,11,0,0,0,0,0,62.3,,60.0,2,0,0,2,0,0
David Morgan,10822,TE,15,MIN,307,0,43,264,10,0,0,0,1,86.2,73.6,78.5,1,0,1,2,2,0
Jake Rudock,10825,QB,3,DET,9,6,0,3,0,0,0,0,0,30.0,,60.0,0,0,0,0,1,0
Wes Schweitzer,10829,G,16,ATL,1014,0,593,421,0,2,0,1034,0,65.3,63.7,65.5,4,6,19,29,6,0
Danny Vitale,10831,FB,15,CLV,103,0,16,87,0,0,0,0,0,57.5,86.5,52.3,0,0,0,0,0,0
Derek Watt,10832,FB,16,LAC,111,0,8,103,0,0,0,0,0,61.7,80.7,56.8,0,0,0,0,0,0
Cody Core,10833,WR,8,CIN,21,0,0,21,0,0,0,0,0,49.0,,55.2,0,0,0,0,0,0
Kyle Murphy,10834,T,3,GB,228,0,174,54,151,0,0,0,83,63.0,59.2,67.7,4,1,10,15,1,0
Mike Thomas,10840,WR,7,LA,39,0,0,39,0,0,0,0,0,59.9,,50.7,0,0,0,0,1,0
Kavon Frazier,10846,S,2,DAL,1,0,0,1,0,0,0,0,0,58.4,,60.0,0,0,0,0,2,2
Ted Karras,10855,C,6,NE,151,0,78,73,0,2,154,0,0,73.6,79.9,73.1,0,1,2,3,1,0
Stephen Weatherly,10861,ED,1,MIN,1,0,1,0,0,0,0,0,0,60.0,,,0,0,0,0,0,0
Riley Dixon,10862,P,1,DEN,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Vadal Alexander,10868,T,11,OAK,256,0,171,85,0,0,0,0,235,55.1,51.6,55.3,2,3,15,20,0,0
Lachlan Edwards,10869,P,1,NYJ,1,1,0,0,0,0,0,0,0,60.8,,,0,0,0,0,0,0
Dwayne Washington,10870,HB,5,DET,7,0,5,2,0,0,0,0,0,51.1,39.4,60.0,0,0,1,1,0,0
Charone Peake,10875,WR,3,NYJ,16,0,0,16,0,0,0,0,0,57.8,,42.5,0,0,0,0,0,0
Tyler Matakevich,10880,LB,1,PIT,1,0,1,0,0,0,0,0,0,60.0,61.5,,0,0,0,0,0,0
Austin Blythe,10882,C,8,LA,196,0,74,122,0,94,112,0,0,51.8,30.2,60.4,0,2,3,5,2,0
Jarrod Wilson,10902,S,2,JAX,2,0,1,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Josh Ferguson,10907,HB,3,IND,5,0,5,0,0,0,0,0,0,49.9,54.0,,0,1,1,2,0,0
Adam Redmond,10915,G,1,IND,58,0,35,23,0,0,60,0,0,52.3,70.9,53.2,0,0,1,1,2,0
Chester Rogers,10918,WR,11,IND,160,0,1,159,0,0,0,0,0,58.1,62.2,60.7,0,0,0,0,3,0
Peyton Barber,10927,HB,13,TB,47,0,34,13,0,0,0,0,0,67.4,39.4,59.4,2,0,2,4,1,0
Alan Cross,10931,FB,8,TB,68,0,5,63,0,0,0,0,0,60.6,27.4,61.8,0,0,1,1,0,0
Leonard Wester,10944,T,5,TB,57,0,32,25,0,0,0,0,32,71.2,67.4,58.9,0,0,1,1,0,0
Kameron Canaday,10949,LS,1,PIT,1,0,1,0,0,0,0,0,0,60.0,60.8,,0,0,0,0,0,0
Hakeem Valles,10960,TE,1,DET,17,0,4,13,0,0,0,0,0,75.2,73.9,70.5,0,0,0,0,0,0
Kyle Carter,10977,TE,3,MIN,24,0,0,24,0,0,0,0,0,56.7,,59.1,0,0,0,0,0,0
Spencer Pulley,10998,C,16,LAC,1054,0,640,414,0,0,1084,0,0,53.6,52.8,53.0,1,9,28,38,2,1
Jared Norris,11011,LB,1,CAR,1,0,1,0,0,0,0,0,0,60.0,,,0,0,0,0,0,0
Mose Frazier,11015,WR,1,CAR,3,0,0,3,0,0,0,0,0,58.9,,60.0,0,0,0,0,0,0
Henry Krieger-Coble,11020,TE,1,IND,6,0,0,6,0,0,0,0,0,48.4,,51.4,0,0,0,0,0,0
Aaron Neary,11024,C,1,LA,65,0,39,26,0,0,70,0,0,60.3,60.0,59.3,1,0,0,1,0,0
Kalif Raymond,11028,WR,4,NYG,10,0,0,10,0,0,0,0,0,54.7,,61.0,0,0,0,0,0,0
Maurice Harris,11035,WR,6,WAS,30,0,0,30,0,0,0,0,0,71.0,,56.7,0,0,0,0,0,0
J.D. McKissic,11047,HB,13,SEA,17,0,8,9,0,0,0,0,0,67.7,24.8,59.6,1,0,1,2,1,0
Marcus Johnson,11074,WR,10,PHI,81,0,0,81,0,0,0,0,0,65.7,,64.0,0,0,0,0,0,0
