year,player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
2016,Matt McGloin,8374,QB,3,OAK,36,17,0,19,0,0,0,0,0,45.5,,60,0,0,0,0,1,0
2016,Josh Johnson,8386,CB,1,JAX,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Jeff Heath,8396,S,1,DAL,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Zach Line,8420,FB,15,MIN,166,0,20,146,0,0,0,0,0,63.3,88,64.7,0,0,0,0,0,0
2016,Patrick Lewis,8452,C,1,BUF,17,0,15,2,0,0,0,18,0,64.6,84.1,56.7,0,0,0,0,0,0
2016,Cody Davis,8458,S,4,LA,1,0,1,0,0,0,0,0,0,58.9,63.8,,0,0,0,0,1,0
2016,LaAdrian Waddle,8460,T,1,NE,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Ryan Schraeder,8496,T,16,ATL,1041,0,628,413,0,0,0,0,1067,82.8,76.8,88.3,6,6,18,30,9,0
2016,Khiry Robinson,8514,HB,1,NYJ,2,0,0,2,0,0,0,0,0,55.1,,60,0,0,0,0,0,0
2016,Terence Garvin,8515,LB,1,WAS,1,0,1,0,0,0,0,0,0,60,62.7,,0,0,0,0,0,0
2016,Jack Doyle,8520,TE,16,IND,357,0,76,281,0,0,0,1,0,75.1,57,64.6,1,1,6,8,5,1
2016,Demetrius Harris,8524,TE,16,KC,265,0,47,218,0,0,0,0,0,46.2,55.3,59.1,0,0,4,4,3,0
2016,Fozzy Whittaker,8547,HB,16,CAR,77,0,64,13,0,0,0,0,0,60.6,81.9,52.2,1,1,2,4,1,0
2016,Darren Fells,8549,TE,14,ARZ,202,0,38,164,0,0,0,0,0,63,80.1,68.5,0,0,1,1,0,0
2016,Ifeanyi Momah,8557,TE,5,ARZ,17,0,2,15,0,0,0,0,0,52.4,0,55.5,1,0,1,2,0,0
2016,James Winchester,8580,LS,1,KC,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Greg Robinson,8637,T,14,LA,892,0,567,325,917,0,0,0,0,59.9,66.7,50.3,8,5,27,40,14,4
2016,Blake Bortles,8638,QB,16,JAX,1089,745,0,344,0,0,0,0,0,56.9,,60,5,9,5,19,8,1
2016,Sammy Watkins,8639,WR,8,BUF,146,0,0,146,0,0,0,0,0,73.7,,71.2,0,0,0,0,1,0
2016,Jake Matthews,8641,T,16,ATL,980,0,599,381,1004,0,0,0,0,72.5,80.4,61.2,5,8,14,27,9,1
2016,Mike Evans,8642,WR,16,TB,318,0,0,318,0,0,0,0,0,91.7,,80,0,0,0,0,4,1
2016,Eric Ebron,8645,TE,13,DET,213,0,26,187,0,0,0,0,0,66.9,80.9,40.2,0,0,0,0,5,0
2016,Taylor Lewan,8646,T,16,TEN,987,0,560,427,960,3,0,0,0,87,85.1,87.5,2,0,22,24,14,2
2016,Odell Beckham Jr.,8647,WR,16,NYG,366,1,0,365,0,0,0,0,0,87,,72.4,1,0,0,1,7,1
2016,Zack Martin,8651,G,16,DAL,1058,0,571,487,0,0,0,1079,0,88.7,83.6,84,2,1,13,16,2,0
2016,C.J. Mosley,8652,LB,1,BLT,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,7,1
2016,Ja'Wuan James,8654,T,16,MIA,935,0,541,394,7,0,0,0,948,75.1,69.6,77.8,5,7,26,38,11,2
2016,Brandin Cooks,8655,WR,16,NO,232,0,0,232,0,0,0,0,0,73,,66.4,0,0,0,0,3,1
2016,Kelvin Benjamin,8663,WR,16,CAR,293,0,0,293,0,0,0,0,0,76.5,,57.6,0,0,0,0,10,2
2016,Xavier Su'a-Filo,8668,G,16,HST,1054,0,635,419,0,1064,0,0,0,67.4,64.2,66.7,7,6,26,39,2,0
2016,Joel Bitonio,8670,G,5,CLV,331,0,210,121,0,341,0,0,0,78.3,82.9,71.2,1,3,4,8,0,0
