player,player_id,position,player_game_count,team_name,snaps,run_snaps,run_tackles,run_assists,run_misses,run_stops,run_tackle_efficiency,pass_snaps,pass_tackles,pass_assists,pass_misses,pass_stops,pass_tackle_efficiency,combined_tackle_efficiency
Tracy Porter,4354,CB,16,CHI,890,355,8,0,6,1,2.3,535,37,1,6,6,7.3,4.8
Devin Taylor,7914,ED,16,DET,620,204,15,1,3,6,6.3,416,5,2,3,8,3.3,4.8
Eddie Pleasant,7593,S,14,HST,237,37,4,1,0,0,1.0e3,200,10,0,4,5,3.5,4.8
Cory Littleton,11190,LB,10,LA,119,73,6,1,3,4,3.3,46,4,0,0,2,1.0e3,4.7
James Ihedigbo,4147,S,4,BUF,140,88,9,0,2,3,5.5,52,1,1,1,0,3.0,4.7
Nate Stupar,7214,LB,15,NO,362,163,21,1,5,14,5.4,199,20,2,7,7,4.1,4.7
Kevin Minter,7826,LB,16,ARZ,951,391,29,14,10,18,5.3,560,28,2,10,16,4.0,4.7
Stephen Paea,6205,DI,13,CLV,308,172,8,3,3,6,4.7,136,0,0,0,0,,4.7
Sean Davis,10692,S,14,PIT,705,233,26,3,10,10,3.9,472,28,5,7,10,5.7,4.6
Mike Jordan,11189,CB,4,LA,172,67,4,0,0,3,1.0e3,105,14,0,5,4,3.8,4.6
Rey Maualuga,4961,LB,14,CIN,311,175,13,7,6,8,4.3,136,8,1,2,4,5.5,4.6
Keith McGill,8751,S,9,OAK,143,59,6,2,2,5,5.0,84,6,0,2,1,4.0,4.5
Olivier Vernon,7074,ED,16,NYG,993,355,31,16,7,26,7.7,638,5,0,8,13,1.6,4.5
Derrick Kindred,10763,S,12,CLV,511,236,19,4,7,6,4.3,275,19,0,5,3,4.8,4.5
Antwione Williams,10803,LB,12,DET,192,103,10,2,3,5,5.0,89,5,4,3,2,4.0,4.5
Josh Johnson,8386,CB,5,JAX,127,17,0,0,0,0,,110,5,2,2,2,4.5,4.5
Mychal Kendricks,7049,LB,15,PHI,261,156,18,0,4,10,5.5,105,9,0,4,5,3.3,4.4
Greg Toler,5055,CB,11,WAS,246,93,4,1,2,1,3.5,153,12,0,3,0,5.0,4.4
Darius Butler,4964,CB,12,IND,445,128,4,1,6,1,1.8,317,24,2,3,9,9.7,4.4
Robert McClain,5771,CB,12,SD,314,101,10,1,3,6,4.7,213,16,4,6,5,4.3,4.4
Vic Beasley Jr.,9441,ED,16,ATL,644,163,10,5,4,7,4.8,481,8,0,3,20,3.7,4.3
Everson Griffen,5624,ED,16,MIN,849,308,28,2,8,19,4.8,541,8,1,4,13,3.3,4.3
Marcus Smith,8661,ED,16,PHI,214,84,6,4,2,5,6.0,130,0,0,1,2,1.0,4.3
Kyle Love,5806,DI,10,CAR,218,83,7,4,3,4,4.7,135,2,0,1,2,3.0,4.3
Bradley Roby,8666,CB,16,DEN,640,193,8,1,2,5,5.5,447,30,1,10,6,4.1,4.3
Jack Crawford,7151,ED,16,DAL,504,183,15,3,4,8,5.5,321,2,0,2,3,2.0,4.3
