player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
Kareem Martin,8719,ED,3,ARZ,4,1,1,1,1,0,0,79.2,0.25,4.0,4.0
Jeff Heath,8396,S,11,DAL,27,7,7,61,24,0,0,103.0,2.26,3.9,3.9
Quinten Rollins,9495,CB,6,GB,63,17,16,170,84,1,0,127.9,2.7,3.7,3.9
Marcus Rios,49551,CB,2,DEN,19,5,5,65,48,0,0,118.8,3.42,3.8,3.8
Kendell Beckwith,11862,LB,14,TB,42,13,11,90,43,1,0,121.2,2.14,3.2,3.8
Troy Hill,9881,CB,6,LA,26,8,7,85,45,1,0,150.5,3.27,3.3,3.7
Sam Acho,6255,ED,13,CHI,29,9,8,61,35,0,0,94.9,2.1,3.2,3.6
Byron Maxwell,6325,CB,9,SEA,18,6,5,77,24,1,0,158.3,4.28,3.0,3.6
Hayes Pullard,9652,LB,8,LAC,32,9,9,34,22,0,0,82.4,1.06,3.6,3.6
Chris Prosinski,6273,S,2,CHI,7,2,2,24,10,0,0,116.7,3.43,3.5,3.5
Haason Reddick,11768,ED,4,ARZ,14,4,4,27,10,0,0,94.8,1.93,3.5,3.5
Dont'a Hightower,7030,ED,5,NE,7,2,2,14,6,0,0,95.8,2.0,3.5,3.5
Michael Mauti,7995,LB,4,NO,7,2,2,42,10,0,0,118.8,6.0,3.5,3.5
Rayshawn Jenkins,11868,S,6,LAC,13,4,4,19,10,0,0,86.5,1.46,3.3,3.3
Joe Schobert,10733,LB,8,CLV,10,5,3,28,2,0,0,75.4,2.8,2.0,3.3
Andrew Adams,11240,S,10,NYG,36,12,11,68,32,0,0,90.3,1.89,3.0,3.3
Todd Davis,9007,LB,9,DEN,22,7,7,40,31,0,0,90.5,1.82,3.1,3.1
Obi Melifonwu,11811,S,3,OAK,3,1,1,12,0,0,0,116.7,4.0,3.0,3.0
Justin Houston,6222,ED,8,KC,18,6,6,97,53,0,0,118.8,5.39,3.0,3.0
Jabaal Sheard,6189,ED,5,IND,6,2,2,52,9,0,0,118.8,8.67,3.0,3.0
Jerrell Freeman,4888,LB,1,CHI,3,1,1,11,5,0,0,112.5,3.67,3.0,3.0
Rontez Miles,8102,S,2,NYJ,3,2,1,0,3,0,0,56.3,0.0,1.5,3.0
David Bass,8016,ED,3,NYJ,3,1,1,15,20,0,0,118.8,5.0,3.0,3.0
Joe Thomas,9272,LB,4,GB,9,3,3,25,4,0,0,101.4,2.78,3.0,3.0
Jelani Jenkins,7886,LB,4,HST,6,2,2,35,15,0,0,118.8,5.83,3.0,3.0
Whitney Mercilus,7031,ED,3,HST,6,3,2,17,9,0,0,81.3,2.83,2.0,3.0
Tyler Matakevich,10880,LB,2,PIT,3,1,1,9,4,0,0,104.2,3.0,3.0,3.0
J.J. Wilcox,7861,S,2,PIT,3,1,1,3,6,0,0,79.2,1.0,3.0,3.0
Calvin Munson,12236,LB,3,NYG,3,1,1,12,4,0,0,116.7,4.0,3.0,3.0
Zaire Anderson,9792,LB,2,DEN,3,1,1,7,1,0,0,95.8,2.33,3.0,3.0
Harlan Miller,10839,S,1,ARZ,3,1,1,20,8,0,0,118.8,6.67,3.0,3.0
James Bradberry,10696,CB,8,CAR,9,5,3,43,5,0,0,87.9,4.78,1.8,3.0
Jordan Jenkins,10717,ED,6,NYJ,6,2,2,8,4,0,0,83.3,1.33,3.0,3.0
Patrick Onwuasor,11100,LB,13,BLT,25,9,9,71,38,0,0,99.5,2.84,2.8,2.8
Josh Martin,8138,ED,3,NYJ,5,2,2,46,41,0,0,118.8,9.2,2.5,2.5
Daryl Worley,10711,CB,8,CAR,10,5,4,56,40,2,0,152.9,5.6,2.0,2.5
Marquis Flowers,8846,LB,5,NE,5,2,2,7,4,0,0,81.3,1.4,2.5,2.5
Fabian Moreau,11836,CB,1,WAS,5,2,2,30,19,0,0,118.8,6.0,2.5,2.5
Ryan Smith,10742,CB,7,TB,7,3,3,20,14,0,0,94.4,2.86,2.3,2.3
Brendan Langley,11856,CB,2,DEN,7,4,3,92,63,0,0,116.7,13.14,1.8,2.3
Shane Ray,9456,ED,4,DEN,6,3,3,40,23,0,0,118.8,6.67,2.0,2.0
Dexter McCoil,10341,S,1,SF,2,1,1,10,0,0,0,108.3,5.0,2.0,2.0
Olivier Vernon,7074,ED,1,NYG,2,1,1,32,7,0,0,118.8,16.0,2.0,2.0
Greg Mabin,12068,CB,2,SF,2,1,1,20,6,0,0,118.8,10.0,2.0,2.0
Brandon Bell,50096,LB,1,CIN,4,3,3,19,10,0,0,93.1,4.75,1.3,1.3
Chase Allen,12211,LB,2,MIA,1,1,1,1,0,1,0,118.8,1.0,1.0,1.0
Bene Benwikere,8783,CB,1,DAL,1,1,1,4,0,0,0,83.3,4.0,1.0,1.0
Derron Smith,9630,S,1,CLV,1,1,1,17,4,0,0,118.8,17.0,1.0,1.0
Khalil Mack,8640,ED,1,OAK,1,1,1,12,15,0,0,116.7,12.0,1.0,1.0
Derek Barnett,11769,ED,1,PHI,1,1,1,21,8,0,0,118.8,21.0,1.0,1.0
Maurice Smith,51190,S,1,MIA,1,1,1,6,7,0,0,91.7,6.0,1.0,1.0
Kasim Edebali,9011,ED,1,NO,1,1,1,10,4,0,0,108.3,10.0,1.0,1.0
LaRoy Reynolds,8500,LB,1,ATL,2,2,2,3,4,1,0,118.8,1.5,1.0,1.0
