year,player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
2017,Kasim Edebali,9011,ED,12,NO,56,49,87.5,0,1,5,6,6.1,16,32.7,0,1,3,4,12.5,33,67.3,0,0,2,2,3
2017,Olsen Pierre,10010,DI,14,ARZ,212,212,100,7,2,10,19,6.1,28,14.4,1,0,0,1,3.6,166,85.6,4,2,9,15,5.7
2017,George Johnson,6112,ED,7,NO,141,140,99.3,3,2,9,14,6.1,34,24.3,0,0,2,2,2.9,106,75.7,3,2,7,12,7.1
2017,Anthony Chickillo,9645,ED,15,PIT,152,108,71.1,3,0,7,10,6,52,48.6,2,0,3,5,6.7,55,51.4,1,0,4,5,5.5
2017,Corey Liuget,6170,DI,12,LAC,249,243,97.6,2,2,23,27,6,122,54.2,1,0,14,15,6.6,103,45.8,1,2,6,9,4.9
2017,Geneo Grissom,9530,ED,4,NE,25,25,100,0,0,3,3,6,10,40,0,0,1,1,5,15,60,0,0,2,2,6.7
2017,Vic Beasley Jr.,9441,ED,14,ATL,312,281,90.1,6,0,22,28,6,261,93.5,6,0,21,27,6.3,18,6.5,0,0,1,1,2.8
2017,Dwight Freeney,1019,ED,9,DET,184,182,98.9,3,2,14,19,6,3,1.6,0,0,0,0,0,179,98.4,3,2,14,19,6.1
2017,Cassius Marsh,8743,ED,14,SF,316,270,85.4,3,4,22,29,5.9,133,49.3,1,1,12,14,5.6,137,50.7,2,3,10,15,6.2
2017,Mike Adams,1972,S,16,CAR,606,34,5.6,0,2,2,4,5.9,23,67.6,0,1,2,3,6.5,11,32.4,0,1,0,1,4.5
2017,Anthony Barr,8644,LB,16,MIN,558,93,16.7,1,3,6,10,5.9,45,49.5,0,2,4,6,6.7,46,50.5,1,1,2,4,5.4
2017,John Simon,7911,ED,9,IND,261,177,67.8,2,6,11,19,5.9,93,53.4,2,4,6,12,7.5,81,46.6,0,2,5,7,4.3
2017,Orlando Scandrick,4457,CB,11,DAL,372,34,9.1,0,1,3,4,5.9,14,41.2,0,0,1,1,3.6,20,58.8,0,1,2,3,7.5
2017,Tyus Bowser,11802,ED,16,BLT,119,94,79,3,1,4,8,5.9,48,51.1,3,1,3,7,10.4,46,48.9,0,0,1,1,1.1
2017,Gerald McCoy,5528,DI,15,TB,450,450,100,6,15,26,47,5.9,323,72.9,5,11,19,35,6.2,120,27.1,1,4,7,12,5.4
2017,Ryan Davis Sr.,7365,ED,16,BUF,257,254,98.8,4,4,18,26,5.9,87,34.3,2,0,8,10,6.9,167,65.7,2,4,10,16,5.4
2017,Dekoda Watson,5740,ED,8,SF,65,59,90.8,0,0,7,7,5.9,28,47.5,0,0,2,2,3.6,31,52.5,0,0,5,5,8.1
