player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
Vince Biegel,11863,ED,8,GB,5,1,1,63,65,0,0,118.8,12.6,5.0,5.0
Brandon Dunn,9262,DI,16,HST,5,1,1,10,4,0,0,108.3,2.0,5.0,5.0
Robert Quinn,6166,ED,15,LA,20,4,4,49,34,0,0,117.7,2.45,5.0,5.0
Willie Young,5736,ED,4,CHI,10,2,2,13,6,0,0,93.8,1.3,5.0,5.0
Shaq Lawson,10653,ED,11,BUF,5,2,1,11,9,0,0,66.7,2.2,2.5,5.0
KeiVarae Russell,10708,CB,6,CIN,35,8,7,82,13,0,0,109.4,2.34,4.4,5.0
Anthony Walker,11916,LB,3,IND,34,7,7,57,21,0,0,100.6,1.68,4.9,4.9
Cameron Wake,4907,ED,16,MIA,14,4,3,38,22,0,0,104.2,2.71,3.5,4.7
Danielle Hunter,9521,ED,16,MIN,14,4,3,52,39,1,0,156.3,3.71,3.5,4.7
Robert Nelson,8989,CB,2,NYJ,23,6,5,71,13,0,0,116.0,3.09,3.8,4.6
Shane Ray,9456,ED,8,DEN,27,6,6,82,51,0,0,118.8,3.04,4.5,4.5
Brandon Bell,50096,LB,1,CIN,13,4,3,19,10,0,0,84.4,1.46,3.3,4.3
Clay Matthews,4949,ED,14,GB,39,11,9,113,84,1,0,139.8,2.9,3.5,4.3
Markus Golden,9491,ED,4,ARZ,13,3,3,32,31,0,0,111.1,2.46,4.3,4.3
Quinten Rollins,9495,CB,6,GB,72,18,17,170,85,1,0,124.5,2.36,4.0,4.2
Dion Jordan,7785,ED,5,SEA,4,1,1,7,0,0,0,95.8,1.75,4.0,4.0
Taco Charlton,11783,ED,16,DAL,8,2,2,13,19,0,0,93.8,1.63,4.0,4.0
Ronald Blair III,10776,ED,6,SF,4,2,1,25,8,0,0,95.8,6.25,2.0,4.0
Gerald Hodges,7902,LB,2,NO,8,2,2,16,3,1,0,139.6,2.0,4.0,4.0
Charles Johnson,3699,ED,12,CAR,8,2,2,24,9,0,0,116.7,3.0,4.0,4.0
Cliff Avril,4406,ED,4,SEA,4,1,1,-1,2,0,0,79.2,-0.25,4.0,4.0
Ezekiel Ansah,8094,ED,14,DET,12,3,3,52,30,0,0,118.8,4.33,4.0,4.0
Marcus Rios,49551,CB,4,DEN,26,9,7,86,53,0,0,106.5,3.31,2.9,3.7
Tyvis Powell,11291,CB,1,SF,11,3,3,52,13,1,0,158.3,4.73,3.7,3.7
Khalil Mack,8640,ED,16,OAK,25,7,7,63,47,0,0,104.2,2.52,3.6,3.6
LaRoy Reynolds,8500,LB,3,ATL,7,2,2,3,4,1,0,118.8,0.43,3.5,3.5
Austin Johnson,10677,DI,16,TEN,3,1,1,5,1,0,0,87.5,1.67,3.0,3.0
Stephen Weatherly,10861,ED,7,MIN,3,1,1,25,25,0,0,118.8,8.33,3.0,3.0
Terrence Fede,8868,ED,11,MIA,3,1,1,4,4,0,0,83.3,1.33,3.0,3.0
Steve Longa,11285,ED,2,DET,6,3,2,33,2,0,0,103.5,5.5,2.0,3.0
Dekoda Watson,5740,ED,8,SF,6,3,2,14,8,0,0,77.1,2.33,2.0,3.0
Ahmad Brooks,2945,ED,12,GB,3,1,1,18,14,0,0,118.8,6.0,3.0,3.0
Cameron Lynch,9911,LB,2,LA,3,1,1,2,0,1,0,118.8,0.67,3.0,3.0
Pete Robertson,11317,LB,2,WAS,3,1,1,3,4,0,0,79.2,1.0,3.0,3.0
Brooks Reed,6194,ED,16,ATL,3,1,1,2,6,0,0,79.2,0.67,3.0,3.0
Chris Milton,10914,CB,4,IND,11,4,4,103,11,1,0,158.3,9.36,2.8,2.8
Kasim Edebali,9011,ED,12,NO,7,3,3,22,10,1,0,136.8,3.14,2.3,2.3
Derron Smith,9630,S,1,CLV,2,1,1,17,4,0,0,118.8,8.5,2.0,2.0
Lerentee McCray,8159,ED,8,JAX,2,1,1,29,15,1,0,158.3,14.5,2.0,2.0
D.J. Alexander,9605,ED,2,SEA,2,1,1,26,23,0,0,118.8,13.0,2.0,2.0
Stephen Paea,6205,DI,4,DAL,2,1,1,6,0,0,0,91.7,3.0,2.0,2.0
Grover Stewart,11899,DI,15,IND,2,1,1,8,2,0,0,100.0,4.0,2.0,2.0
T.Y. McGill,10156,DI,3,CLV,2,1,1,6,1,0,0,91.7,3.0,2.0,2.0
Cornelius Washington,7969,ED,15,DET,4,2,2,34,35,0,0,118.8,8.5,2.0,2.0
Javon Hargrave,10723,DI,16,PIT,4,3,2,59,51,0,0,109.7,14.75,1.3,2.0
Ryan Russell,9596,ED,14,TB,3,2,2,35,10,0,0,118.8,11.67,1.5,1.5
Tommy Bohanon,7997,FB,1,JAX,1,1,1,31,26,0,0,118.8,31.0,1.0,1.0
Craig Mager,9516,CB,1,LAC,1,1,1,7,9,0,0,95.8,7.0,1.0,1.0
Frostee Rucker,3036,DI,16,ARZ,1,1,1,8,3,0,0,100.0,8.0,1.0,1.0
Timmy Jernigan,8683,DI,15,PHI,1,1,1,12,7,0,0,116.7,12.0,1.0,1.0
Christian Ringo,9643,DI,6,DET,1,1,1,10,9,0,0,108.3,10.0,1.0,1.0
Ryan Glasgow,11893,DI,16,CIN,0,1,1,1,0,1,0,118.8,,0.0,0.0
Chris Odom,12031,ED,5,GB,0,1,1,-4,0,0,0,79.2,,0.0,0.0
