player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles
Kamalei Correa,10676,LB,16,BLT,74,84,77,79,61,0,59.0,,,,,,1,0,5,3,4
Austin Johnson,10677,DI,16,TEN,0,0,20,0,75,26,41.0,,,,,,0,0,0,0,0
Jihad Ward,10678,DI,1,OAK,0,0,0,0,1,0,59.8,,,,,,0,0,0,0,0
A'Shawn Robinson,10680,DI,16,DET,0,0,5,0,74,5,90.2,,,,,,0,0,0,0,0
Michael Thomas,10681,WR,6,NO,3,3,0,0,0,0,64.3,,60.0,,,,0,0,1,0,0
Jason Spriggs,10682,T,5,GB,0,0,0,0,0,17,61.5,,,,,,0,0,0,0,0
Jarran Reed,10683,DI,13,SEA,0,0,2,0,55,0,60.0,,,,,,0,0,0,0,0
Nick Martin,10684,C,2,HST,0,0,0,0,0,5,60.4,,,,,,0,0,0,0,0
Deion Jones,10686,LB,16,ATL,3,1,9,0,64,0,61.2,,,,,,0,0,0,0,0
Mackensie Alexander,10688,CB,13,MIN,0,57,58,0,11,0,61.6,,,,,,1,0,1,1,0
Tyler Boyd,10689,WR,2,CIN,0,0,6,0,0,0,59.5,,,,,,0,0,0,0,0
Cody Whitehair,10690,C,6,CHI,0,0,0,0,0,12,61.3,,,,,,0,0,0,0,0
T.J. Green,10691,S,15,IND,18,54,35,24,11,0,58.4,,,,,,1,0,1,1,0
Sean Davis,10692,S,16,PIT,0,0,0,58,56,0,62.2,,,,,,1,0,1,1,0
Vonn Bell,10695,S,16,NO,0,94,44,0,48,0,70.1,,,,,,0,0,4,0,1
James Bradberry,10696,CB,16,CAR,0,6,62,0,63,0,60.1,,,,,,1,0,0,0,0
Adam Gotsis,10697,DI,16,DEN,0,0,11,1,68,43,77.4,,,,,,0,0,0,0,0
Kevin Byard,10698,S,12,TEN,16,1,7,0,43,0,60.2,,,,,,0,0,0,0,0
Carl Nassib,10699,ED,16,CLV,0,0,4,0,74,46,69.3,,,,,,1,0,0,0,0
Maliek Collins,10701,DI,16,DAL,0,0,8,0,51,0,58.3,,,,,,0,0,0,0,0
Yannick Ngakoue,10703,ED,16,JAX,0,0,28,0,50,0,59.9,,,,,,0,0,0,0,0
Bronson Kaufusi,10704,DI,3,BLT,0,0,0,0,11,3,59.3,,,,,,0,0,0,0,0
Darian Thompson,10705,S,16,NYG,1,39,2,3,70,0,30.4,,,,,,0,0,0,0,2
Jonathan Bullard,10706,DI,15,CHI,2,0,1,0,60,0,57.5,,,,,,0,0,0,0,0
Kenyan Drake,10707,HB,11,MIA,38,24,34,40,0,0,54.7,,58.2,,,,1,0,3,1,2
KeiVarae Russell,10708,CB,8,CIN,1,12,37,8,32,0,68.8,,,,,,1,0,1,0,0
Shilique Calhoun,10709,ED,9,OAK,44,33,36,14,11,0,67.0,,,,,,4,0,0,0,1
Shon Coleman,10710,T,16,CLV,0,0,0,0,0,46,61.7,,,,,,0,0,0,0,0
Daryl Worley,10711,CB,15,CAR,4,21,65,3,38,0,63.4,,,,,,0,0,0,0,0
Joe Thuney,10712,G,16,NE,0,0,0,0,0,87,62.3,,,,,,0,0,0,0,0
Isaac Seumalo,10713,G,13,PHI,0,0,0,0,0,68,63.0,,,,,,0,0,0,0,0
