player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Niles Paul,6307,TE,5,JAX,13,10,2,12,16.7
Ray-Ray McCloud III,47895,WR,10,BUF,6,5,1,6,16.7
Kelvin Benjamin,8663,WR,15,KC,64,25,5,30,16.7
Andre Roberts,5612,WR,13,NYJ,18,10,2,12,16.7
Garrett Celek,7274,TE,15,SF,8,5,1,6,16.7
LeGarrette Blount,5863,HB,16,DET,14,10,2,12,16.7
Michael Floyd,7019,WR,13,WAS,23,10,2,12,16.7
Carlos Hyde,8692,HB,14,JAX,15,10,2,12,16.7
Devonta Freeman,8738,HB,2,ATL,7,5,1,6,16.7
Mark Walton,45996,HB,6,CIN,7,5,1,6,16.7
Tyler Conklin,47124,TE,15,MIN,7,5,1,6,16.7
Vyncint Smith,66957,WR,6,HST,9,5,1,6,16.7
Michael Crabtree,4933,WR,16,BLT,98,54,11,65,16.9
Virgil Green,6356,TE,16,LAC,27,19,4,23,17.4
Courtland Sutton,48164,WR,16,DEN,79,42,9,51,17.6
Royce Freeman,45747,HB,14,DEN,19,14,3,17,17.6
Rashaad Penny,27414,HB,11,SEA,12,9,2,11,18.2
Cody Core,10833,WR,14,CIN,28,13,3,16,18.8
Andre Holmes,6489,WR,14,DEN,23,13,3,16,18.8
Chris Ivory,6007,HB,13,BUF,20,13,3,16,18.8
Trenton Cannon,66446,HB,11,NYJ,26,17,4,21,19.0
Robert Tonyan,12193,TE,11,GB,5,4,1,5,20.0
Jacob Hollister,12051,TE,6,NE,5,4,1,5,20.0
Demetrius Harris,8524,TE,15,KC,25,12,3,15,20.0
Tyler Kroft,9518,TE,5,CIN,5,4,1,5,20.0
Eric Tomlinson,9786,TE,14,NYJ,13,8,2,10,20.0
Auden Tate,48192,WR,5,CIN,12,4,1,5,20.0
Elijah McGuire,11943,HB,8,NYJ,30,19,5,24,20.8
Marshawn Lynch,3628,HB,6,OAK,19,15,4,19,21.1
Brandon Marshall,3064,WR,7,NO,22,11,3,14,21.4
Mo Alie-Cox,12078,TE,9,IND,13,7,2,9,22.2
Zach Zenner,9761,HB,8,DET,10,7,2,9,22.2
Josh Adams,45662,HB,12,PHI,13,7,2,9,22.2
Ronald Jones,34001,HB,8,TB,9,7,2,9,22.2
John Ross,11764,WR,13,CIN,55,21,7,28,25.0
Justin Hunter,7815,WR,4,PIT,13,3,1,4,25.0
Russell Gage,44771,WR,8,ATL,10,6,2,8,25.0
Keith Ford,23614,HB,2,BUF,4,3,1,4,25.0
Orson Charles,7116,TE,12,CLV,4,3,1,4,25.0
D.J. Chark Jr.,47702,WR,11,JAX,31,14,5,19,26.3
Eric Saubert,11929,TE,14,ATL,9,5,2,7,28.6
Joshua Perkins,11051,TE,7,PHI,11,5,2,7,28.6
C.J. Anderson,8101,HB,9,LA,7,5,2,7,28.6
Mike Boone,31615,HB,5,MIN,3,2,1,3,33.3
John Kelly,34761,HB,3,LA,3,2,1,3,33.3
Jamize Olawale,7572,FB,15,DAL,4,2,1,3,33.3
Alan Cross,10931,TE,14,TB,4,2,1,3,33.3
Dion Sims,7888,TE,8,CHI,4,2,1,3,33.3
Charone Peake,10875,WR,9,NYJ,3,2,1,3,33.3
Nick Williams,8005,WR,4,LA,5,2,1,3,33.3
Jamaal Charles,4387,HB,2,JAX,3,2,1,3,33.3
Zach Line,8420,FB,14,NO,10,5,3,8,37.5
Taysom Hill,12112,QB,14,NO,7,3,2,5,40.0
Josh Malone,11883,WR,8,CIN,4,1,1,2,50.0
Gehrig Dieter,12163,WR,4,KC,3,1,1,2,50.0
Stacy Coley,11974,WR,2,NYG,1,0,1,1,100.0
J.D. McKissic,11047,HB,3,SEA,1,0,1,1,100.0
Cole Wick,11139,TE,2,TEN,1,0,1,1,100.0
Baker Mayfield,46518,QB,3,CLV,1,0,0,0,
Freddie Martino,9292,WR,3,TB,1,0,0,0,
Josh Allen,46601,QB,1,BUF,1,0,0,0,
Darrell Daniels,12122,TE,5,ARZ,2,0,0,0,
Pharoh Cooper,10751,WR,2,ARZ,1,0,0,0,
Riley McCarron,48033,WR,1,NE,1,0,0,0,
Johnny Holton,11354,WR,1,OAK,1,0,0,0,
Lamar Jackson,46416,QB,6,BLT,1,0,0,0,
Dak Prescott,10769,QB,1,DAL,1,0,0,0,
Mike Wallace,5007,WR,2,PHI,3,0,0,0,
Jerome Cunningham,9400,TE,3,DET,1,0,0,0,
Jourdan Lewis,11846,CB,4,DAL,1,0,0,0,
Chris Lacy,29726,WR,1,DET,1,0,0,0,
Isaiah Ford,11991,WR,1,MIA,1,0,0,0,
Taiwan Jones,6277,HB,2,BUF,2,0,0,0,
