year,player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
2018,Kamar Aiken,6671,WR,5,PHI,7,6,53,78,0.68
2018,Raheem Mostert,9783,HB,8,SF,7,6,25,37,0.68
2018,Auden Tate,48192,WR,5,CIN,12,4,35,52,0.67
2018,Andre Roberts,5612,WR,13,NYJ,18,10,79,120,0.66
2018,Keith Ford,23614,HB,2,BUF,4,3,21,32,0.66
2018,Chris Conley,9509,WR,16,KC,47,32,334,513,0.65
2018,George Fant,11282,T,8,SEA,1,1,9,14,0.64
2018,Latavius Murray,7962,HB,16,MIN,25,22,141,221,0.64
2018,Keith Smith,9302,FB,15,OAK,7,5,23,36,0.64
2018,Jamaal Charles,4387,HB,2,JAX,3,2,7,11,0.64
2018,Logan Thomas,8755,TE,12,BUF,16,12,77,121,0.64
2018,Devonta Freeman,8738,HB,2,ATL,7,5,23,36,0.64
2018,Austin Carr,12215,WR,14,NO,13,9,97,153,0.63
2018,Joe Webb III,5722,WR,2,HST,3,2,13,21,0.62
2018,Andy Jones,11123,WR,8,DET,22,11,80,130,0.62
2018,Ronald Jones,34001,HB,8,TB,9,7,33,54,0.61
2018,Blake Bell,9550,TE,10,JAX,9,8,67,109,0.61
2018,KhaDarel Hodge,26104,WR,9,LA,3,2,17,28,0.61
2018,Royce Freeman,45747,HB,14,DEN,19,14,72,119,0.61
2018,Marlon Mack,11898,HB,12,IND,24,17,103,171,0.6
2018,James Develin,6142,FB,16,NE,17,12,61,101,0.6
2018,Chad Williams,11853,WR,10,ARZ,42,17,171,284,0.6
2018,Josh Adams,45662,HB,12,PHI,13,7,58,98,0.59
2018,T.J. Jones,8824,WR,15,DET,25,19,190,321,0.59
2018,Sean Culkin,12037,TE,13,LAC,1,1,24,41,0.59
2018,Lamar Miller,7097,HB,14,HST,34,25,163,276,0.59
2018,Richard Rodgers,8733,TE,4,PHI,1,1,7,12,0.58
2018,Marcus Kemp,12137,WR,7,KC,1,1,7,12,0.58
2018,James Washington,47792,WR,14,PIT,36,16,217,381,0.57
2018,John Ross,11764,WR,13,CIN,55,21,210,368,0.57
2018,Antony Auclair,24606,TE,15,TB,8,7,48,84,0.57
2018,Sammie Coates,9520,WR,2,HST,1,1,12,21,0.57
2018,Khari Lee,10018,TE,2,BUF,1,1,5,9,0.56
2018,Nick Bellore,6515,FB,13,DET,4,4,15,27,0.56
2018,Travaris Cadet,7457,HB,1,CAR,1,1,5,9,0.56
2018,Matt Lengel,9884,TE,9,CIN,7,3,17,33,0.52
2018,Danny Vitale,10831,FB,2,GB,2,1,2,4,0.5
2018,Michael Floyd,7019,WR,13,WAS,23,10,100,199,0.5
2018,Bradley Sowell,7693,T,4,CHI,2,1,2,4,0.5
2018,J.J. Nelson,9592,WR,12,ARZ,19,7,64,131,0.49
2018,Ray-Ray McCloud III,47895,WR,10,BUF,6,5,36,74,0.49
2018,Brian Parker,10135,TE,9,DEN,8,5,33,69,0.48
2018,Charone Peake,10875,WR,9,NYJ,3,2,25,53,0.47
2018,Cam Phillips,47593,WR,2,BUF,1,1,9,20,0.45
2018,Hakeem Valles,10960,TE,3,DET,3,2,11,25,0.44
2018,Luke Willson,7940,TE,14,DET,19,13,87,196,0.44
2018,Damiere Byrd,9964,WR,6,CAR,2,1,8,20,0.4
2018,Jamize Olawale,7572,FB,15,DAL,4,2,13,33,0.39
2018,Alex Armah,11948,FB,9,CAR,1,1,5,13,0.38
2018,Brian Quick,7037,WR,5,WAS,3,3,18,47,0.38
2018,Gus Edwards,46027,HB,9,BLT,2,2,20,53,0.38
2018,Jeremy Sprinkle,11909,TE,16,WAS,8,5,41,111,0.37
2018,DeAndre Washington,10777,HB,8,OAK,1,1,9,25,0.36
2018,Peyton Barber,10927,HB,16,TB,27,20,92,270,0.34
2018,Jay Ajayi,9582,HB,4,PHI,6,5,20,58,0.34
2018,Nick Williams,8005,WR,4,LA,5,2,17,51,0.33
2018,Brian Hill,11911,HB,4,ATL,2,1,9,28,0.32
2018,Shaun Wilson,45993,HB,5,TB,5,3,5,16,0.31
2018,Josh Malone,11883,WR,8,CIN,4,1,12,44,0.27
2018,J'Mon Moore,48316,WR,6,GB,3,2,15,55,0.27
2018,Samaje Perine,11869,HB,3,WAS,3,3,5,19,0.26
2018,Marcus Murphy,9663,HB,9,BUF,17,11,26,99,0.26
2018,Justin Hunter,7815,WR,4,PIT,13,3,21,83,0.25
2018,Alan Cross,10931,TE,14,TB,4,2,9,36,0.25
2018,Dwayne Allen,7066,TE,12,NE,4,3,27,110,0.25
2018,Victor Bolden Jr.,12269,WR,4,BUF,4,1,10,41,0.24
2018,Ricky Ortiz,47053,FB,12,ATL,3,3,11,45,0.24
2018,Rishard Matthews,7211,WR,7,NYJ,9,5,24,104,0.23
2018,Jeremy Kerley,6305,WR,1,BUF,4,2,7,30,0.23
2018,Carlos Hyde,8692,HB,14,JAX,15,10,33,149,0.22
2018,Darrius Heyward-Bey,4930,WR,9,PIT,2,1,9,41,0.22
2018,Zach Line,8420,FB,14,NO,10,5,14,65,0.22
2018,Robert Turbin,7106,HB,2,IND,1,1,3,15,0.2
2018,Justin Watson,66915,WR,10,TB,2,1,5,30,0.17
2018,Kenjon Barner,7963,HB,5,CAR,1,1,3,19,0.16
2018,Dion Sims,7888,TE,8,CHI,4,2,9,62,0.15
2018,Taysom Hill,12112,QB,14,NO,7,3,4,34,0.12
2018,Jonathan Williams,10790,HB,3,IND,1,1,1,10,0.1
2018,Derek Watt,10832,FB,9,LAC,1,1,2,24,0.08
2018,Mike Boone,31615,HB,5,MIN,3,2,1,22,0.05
2018,Ryan Hewitt,9107,TE,11,IND,1,1,1,37,0.03
2018,Dak Prescott,10769,QB,1,DAL,1,0,0,1,0
2018,Taiwan Jones,6277,HB,2,BUF,2,0,0,2,0
2018,Baker Mayfield,46518,QB,3,CLV,1,0,0,3,0
2018,Lamar Jackson,46416,QB,6,BLT,1,0,0,10,0
2018,Stacy Coley,11974,WR,2,NYG,1,0,0,11,0
2018,Isaiah Ford,11991,WR,1,MIA,1,0,0,7,0
2018,Chris Lacy,29726,WR,1,DET,1,0,0,12,0
2018,Mike Wallace,5007,WR,2,PHI,3,0,0,38,0
2018,Darrell Daniels,12122,TE,5,ARZ,2,0,0,25,0
2018,Josh Allen,46601,QB,1,BUF,1,0,0,1,0
2018,Riley McCarron,48033,WR,1,NE,1,0,0,9,0
2018,J.D. McKissic,11047,HB,3,SEA,1,0,0,4,0
2018,Cole Wick,11139,TE,2,TEN,1,0,0,3,0
2018,Johnny Holton,11354,WR,1,OAK,1,0,0,4,0
2018,Jourdan Lewis,11846,CB,4,DAL,1,0,0,4,0
2018,Freddie Martino,9292,WR,3,TB,1,0,0,11,0
2018,Pharoh Cooper,10751,WR,2,ARZ,1,0,0,3,0
