year,player,player_id,position,player_game_count,team_name,grades_return,total_attempts,grades_kick_return,kickoff_attempts,kickoff_yards,kickoff_long,kickoff_ypa,kickoff_touchdowns,kickoff_fair_catches,kickoff_muffed_returns,grades_punt_return,punt_attempts,punt_yards,punt_long,punt_ypa,punt_touchdowns,punt_fair_catches,punt_muffed_returns
2014,Jairus Byrd,4965,S,4,NO,60.5,0,,0,0,0,,0,0,0,60.6,0,0,0,,0,5,0
2014,Brandon Tate,5006,WR,16,CIN,63.7,36,56.9,18,397,31,22.1,0,0,0,70.3,18,174,49,9.7,0,14,0
2014,Lardarius Webb,5011,CB,13,BLT,60.8,0,,0,0,0,,0,0,0,61,0,0,0,,0,5,0
2014,David Bruton,5037,S,14,DEN,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,James Casey,5076,TE,16,PHI,,3,,3,38,16,12.7,0,0,0,,0,0,0,,0,0,0
2014,Frank Summers,5093,FB,10,BUF,59.9,1,59.9,1,11,11,11,0,0,0,,0,0,0,,0,0,0
2014,Cedric Peerman,5109,HB,16,CIN,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Julian Edelman,5156,WR,14,NE,85.8,24,,0,0,0,,0,0,0,91.6,24,294,84,12.3,1,6,0
2014,David Johnson,5165,TE,14,SD,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Chris Williams,5321,WR,7,CHI,67.4,28,66.4,24,579,101,24.1,1,0,0,62.1,4,37,13,9.3,0,2,0
2014,Darrel Young,5438,FB,16,WAS,,1,,1,10,10,10,0,0,0,,0,0,0,,0,0,0
2014,Marcus Thigpen,5488,WR,9,BUF,66.9,27,67.3,12,285,49,23.8,0,0,0,62,15,220,75,14.7,1,13,0
2014,C.J. Spiller,5534,HB,9,BUF,69,10,68.1,10,306,102,30.6,1,0,0,,0,0,0,,0,0,0
2014,Tyson Alualu,5535,ED,16,JAX,,1,,1,12,12,12,0,0,0,,0,0,0,,0,0,0
2014,Earl Thomas III,5539,S,16,SEA,54.9,2,,0,0,0,,0,0,0,53.6,2,3,3,1.5,0,0,0
2014,Dez Bryant,5549,WR,16,DAL,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Devin McCourty,5552,S,16,NE,61.2,1,61.2,1,27,27,27,0,0,0,,0,0,0,,0,0,0
2014,Chris Cook,5559,CB,6,SF,,1,,0,0,0,,0,0,0,,1,2,2,2,0,0,0
2014,Dexter McCluster,5561,HB,14,TEN,56.3,21,,0,0,0,,0,0,0,55,21,155,48,7.4,0,14,0
2014,Brandon LaFell,5602,WR,16,NE,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Emmanuel Sanders,5606,WR,16,DEN,58.1,4,57.4,3,54,22,18,0,0,0,61.1,1,11,11,11,0,1,0
2014,Eric Decker,5611,WR,15,NYJ,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Andre Roberts,5612,WR,16,WAS,70.9,59,72.2,31,710,45,22.9,0,0,0,60.8,28,213,37,7.6,0,26,0
2014,Marcus Easley,5631,WR,10,BUF,,1,,1,13,13,13,0,0,0,,0,0,0,,0,0,0
2014,Joe McKnight,5636,HB,2,KC,68.2,3,67.5,3,65,25,21.7,0,0,0,,0,0,0,,0,0,0
2014,Perrish Cox,5660,CB,15,SF,53.7,12,72.9,2,60,57,30,0,0,0,40.4,10,35,9,3.5,0,1,0
2014,John Conner,5662,FB,12,NYJ,,2,,2,12,7,6,0,0,0,,0,0,0,,0,0,0
2014,Sherrick McManis,5667,CB,12,CHI,,1,,0,0,0,,0,0,0,,1,0,0,0,0,0,0
2014,Nolan Carroll,5668,CB,16,PHI,57.1,2,57.4,2,45,24,22.5,0,0,0,,0,0,0,,0,0,0
2014,Riley Cooper,5682,WR,16,PHI,60,0,,0,0,0,,0,0,0,60,0,0,0,,0,1,0
2014,Anthony Dixon,5696,HB,16,BUF,,4,,4,52,15,13,0,0,0,,0,0,0,,0,0,0
2014,Antonio Brown,5718,WR,16,PIT,76.9,30,59.9,1,0,0,0,0,0,0,82.5,29,319,71,11,1,16,0
2014,Trindon Holliday,5720,WR,2,SF,58.9,7,61.9,5,128,32,25.6,0,0,0,55.4,2,17,17,8.5,0,1,0
2014,Joe Webb III,5722,QB,7,CAR,59.1,2,59.2,2,53,27,26.5,0,0,0,,0,0,0,,0,0,0
2014,Marc Mariani,5745,WR,6,CHI,84.7,28,79.6,21,516,67,24.6,0,0,0,73.4,7,30,16,4.3,0,4,0
2014,Michael Palmer,5784,TE,15,PIT,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Logan Paulsen,5795,TE,16,WAS,,1,,1,10,10,10,0,0,0,,0,0,0,,0,0,0
2014,LeGarrette Blount,5863,HB,16,NE,59.4,5,59.4,5,103,29,20.6,0,0,0,,0,0,0,,0,0,0
2014,Marlon Moore,5887,WR,13,CLV,84.8,13,82.3,13,322,32,24.8,0,0,0,,0,0,0,,0,0,0
2014,Preston Parker,5950,WR,16,NYG,57.4,29,57.2,21,509,45,24.2,0,0,0,59.8,8,53,18,6.6,0,6,0
2014,Marcus Sherels,6017,CB,16,MIN,68.2,32,65.1,4,110,46,27.5,0,0,0,67.7,28,297,35,10.6,0,26,0
