year,player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
2019,Chris Manhertz,10211,TE,15,CAR,1,1,100,11,0,62.2,52.2,64.7,61.2,61.7,11,9,9,11,1,0,0,0,0,112.5,2,0
2019,Jay Ajayi,9582,HB,2,PHI,1,0,0,0,0,57.1,27.9,27.9,73.8,73.1,,0,,0,0,1,0,0,0,39.6,0,0
2019,Chad Williams,11853,WR,1,IND,1,0,0,0,0,54.4,55.4,,,,,0,,0,0,0,0,0,0,39.6,0,0
2019,John Ursua,26586,WR,1,SEA,1,1,100,11,0,71.5,69.5,64.7,61.2,,11,0,0,11,1,0,0,0,0,112.5,0,0
2019,Senorise Perry,9035,HB,1,BUF,1,1,100,1,0,65.9,62.3,64.7,69.8,73,1,1,1,1,0,0,0,0,0,79.2,0,0
2019,Charles Jones II,47186,TE,3,JAX,1,1,100,5,0,52.4,58.7,64.7,61.2,14.3,5,2,2,5,0,0,0,0,0,87.5,0,0
2019,Michael Burton,9601,FB,7,WAS,1,0,0,0,0,57.8,31.1,27.9,,78.8,,0,,0,0,1,0,0,0,39.6,0,0
2019,Jace Sternberger,47081,TE,5,GB,1,0,0,0,0,52.8,47.4,,,77.7,,0,,0,0,0,0,0,0,39.6,0,0
2019,Ricky Ortiz,47053,FB,1,NO,1,1,100,8,0,82.7,82.6,64.7,61.2,71.3,8,7,7,8,0,0,0,0,1,100,0,0
2019,Kaleb McGary,46912,T,16,ATL,1,1,100,-3,0,53,61.9,64.7,61.2,52.8,-3,0,0,0,0,0,0,0,0,79.2,5,0
2019,David Blough,46508,QB,5,DET,1,1,100,19,1,57.7,91.2,64.7,73.5,,19,6,6,19,1,0,0,0,0,158.3,0,0
2019,Wyatt Teller,46131,G,11,CLV,1,1,100,-5,0,56.7,60.6,64.7,61.2,68.6,-5,0,0,0,0,0,0,0,0,79.2,2,0
2019,Dwayne Washington,10870,HB,4,NO,1,1,100,6,0,79.3,65.1,64.7,73.3,86.9,6,11,11,6,0,0,0,0,0,91.7,0,0
2019,Elandon Roberts,10848,LB,14,NE,1,1,100,38,1,61.5,80.2,64.7,61.2,75.8,38,31,31,38,1,0,0,0,1,158.3,2,0
2019,Jeff Driskel,10841,QB,3,DET,1,1,100,6,0,51.3,,,66.5,,6,9,9,6,0,0,0,1,0,91.7,3,1
2019,Garrett Bradbury,46013,C,16,MIN,1,1,100,-4,0,58,63.2,67.6,,38.7,-4,0,0,0,0,0,0,0,0,79.2,8,1
2019,Krishawn Hogan,12014,WR,7,NO,1,1,100,4,0,55.9,50.5,64.7,61.2,,4,2,2,4,0,0,0,0,0,83.3,0,0
2019,Cyril Grayson,12077,WR,2,TB,1,1,100,3,0,58.1,58.2,64.7,61.2,,3,1,1,3,0,0,0,0,0,79.2,0,0
2019,Kirk Cousins,7102,QB,15,MIN,1,0,0,0,0,84.3,60,,35.6,60.9,,0,,0,0,0,0,6,0,39.6,1,0
2019,Tyrone Swoopes,12267,TE,5,SEA,1,1,100,5,0,42.3,45.8,64.7,61.2,63.3,5,7,7,5,0,0,0,0,1,87.5,1,1
2019,Dennis Kelly,7146,T,11,TEN,1,1,100,1,1,71,89.4,64.7,61.2,75.2,1,0,0,1,1,0,0,0,0,118.8,2,1
2019,Deon Lacey,8512,LB,3,MIA,1,0,0,0,0,53.5,59.4,,,,,0,,0,0,0,0,0,0,39.6,0,0
2019,Paul Perkins,10783,HB,2,DET,1,1,100,9,0,56.1,64.1,64.7,74.9,77,9,10,10,9,0,0,0,0,0,104.2,0,0
2019,Jason Sanders,29578,K,1,MIA,1,1,100,1,1,89.5,78.8,64.7,61.2,,1,0,0,1,1,0,0,0,0,118.8,0,0
2019,Cody Davis,8458,S,9,JAX,1,1,100,7,0,74,90.3,64.7,61.2,63.8,7,6,6,7,1,0,0,0,0,95.8,0,0
2019,Lil'Jordan Humphrey,42247,WR,5,NO,1,0,0,0,0,52,50.3,,,,,0,,0,0,0,0,0,0,39.6,0,0
2019,Vita Vea,48956,DI,16,TB,1,1,100,1,1,65.2,81,64.7,61.2,66.4,1,0,0,1,1,0,0,0,0,118.8,5,1
2019,Nick Scott,49012,S,4,LA,1,1,100,23,0,59,71.3,64.7,64.6,60.9,23,23,23,23,1,0,0,0,0,118.8,0,0
2019,Christian Wilkins,50293,DI,16,MIA,1,1,100,1,1,28,26.3,64.7,18.4,,1,1,1,1,0,0,0,1,0,118.8,3,0
2019,Justin Hardee,18348,CB,4,NO,1,0,0,0,0,42,42.9,27.9,,,,0,,0,0,1,0,0,0,39.6,0,0
2019,Jacoby Brissett,10725,QB,15,IND,1,1,100,2,0,59.2,,,55.6,61.3,2,8,8,2,0,0,0,5,0,79.2,5,1
2019,Dane Cruikshank,25546,S,6,TEN,1,0,0,0,0,57.2,56.9,,,,,0,,0,0,0,0,0,0,39.6,0,0
2019,Dalyn Dawkins,39541,HB,2,TEN,1,0,0,0,0,55.3,28,28,73.8,74.9,,0,,0,0,1,0,0,0,39.6,0,0
2019,Kevin Byard,10698,S,16,TEN,1,1,100,11,0,73.8,90.3,64.7,61.2,60.9,11,8,8,11,1,0,0,0,0,112.5,1,0
2019,Kerrith Whyte Jr.,26392,HB,6,PIT,1,1,100,9,0,64.4,26.9,68.3,38.2,72.3,9,12,12,9,1,0,0,0,0,104.2,0,0
2019,Eric Tomlinson,9786,TE,6,OAK,1,1,100,1,0,62.7,48.4,64.7,61.2,50.7,1,1,1,1,0,0,0,0,0,79.2,1,0
2019,Michael Deiter,38554,G,16,MIA,1,1,100,0,0,42.5,68.1,64.7,61.2,37.8,0,2,2,0,0,0,0,0,0,79.2,5,1
2019,David Quessenberry,7957,T,2,TEN,1,1,100,1,1,91.4,90.2,64.7,61.2,65.9,1,0,0,1,1,0,0,0,0,118.8,0,0
2019,Rashard Davis,38044,WR,1,TEN,1,1,100,16,0,90.2,79.6,64.7,72.9,,16,0,0,16,1,0,0,0,0,118.8,0,0
2019,Codey McElroy,66966,TE,1,TB,1,1,100,30,0,93,92.6,64.7,61.2,,30,0,0,30,1,0,0,0,0,118.8,0,0
2019,David Long Jr.,27377,CB,6,LA,1,0,0,0,0,58.9,59.8,,,,,0,,0,0,0,1,0,0,0,0,0
2019,Deshaun Watson,11767,QB,15,HST,1,1,100,6,1,81,89.7,64.7,29.5,,6,5,5,6,1,0,0,8,0,131.3,1,0
2019,Andy Dalton,6187,QB,13,CIN,1,1,100,-4,0,66.3,,,60.5,60.9,-4,4,4,0,0,0,0,5,0,79.2,7,0
2019,Zach Gentry,36049,TE,3,PIT,1,1,100,4,0,58,56,64.7,61.2,70.6,4,3,3,4,1,0,0,0,1,83.3,0,0
2019,Taiwan Jones,6277,HB,1,HST,1,1,100,9,0,71.7,73.8,64.7,73.1,,9,11,11,9,0,0,0,0,1,104.2,0,0
2019,Ty Sambrailo,9492,T,10,ATL,1,1,100,35,1,55.1,90.2,64.7,61.2,48,35,22,22,35,1,0,0,0,0,158.3,1,0
2019,Ventell Bryant,47959,WR,5,DAL,1,1,100,15,1,86,80.4,64.7,61.2,,15,0,0,15,1,0,0,0,0,158.3,0,0
2019,Dion Dawkins,11818,T,16,BUF,1,1,100,1,1,73.3,90.3,64.7,61.2,76.4,1,0,0,1,1,0,0,0,0,118.8,11,4
