player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
Joshua Dobbs,11890,QB,2,PIT,2,-4,0,0,0.0
Dwayne Harris,6328,WR,2,OAK,2,12,0,0,0.0
Nathan Peterman,11926,QB,1,BUF,2,2,0,0,0.0
Tyler Boyd,10689,WR,2,CIN,2,3,0,0,0.0
T.J. Logan,11935,HB,2,ARZ,2,2,0,0,0.0
De'Angelo Henderson Sr.,11958,HB,1,NYJ,2,19,0,0,0.0
Julio Jones,6158,WR,2,ATL,2,12,0,0,0.0
Justin Davis,12202,HB,2,LA,2,19,1,19,100.0
Andre Roberts,5612,WR,2,NYJ,2,20,1,18,90.0
Zach Pascal,12303,WR,2,IND,2,10,0,0,0.0
Tyrell Williams,10154,WR,2,LAC,2,15,0,0,0.0
Kyle Allen,26152,QB,1,CAR,2,2,0,0,0.0
Eric Ebron,8645,TE,2,IND,2,-7,0,0,0.0
Amari Cooper,9437,WR,2,DAL,2,20,0,0,0.0
Jarvis Landry,8698,WR,1,CLV,2,54,1,51,94.4
Marquez Valdes-Scantling,47809,WR,1,GB,2,29,1,21,72.4
Ray-Ray McCloud III,47895,WR,2,BUF,2,4,0,0,0.0
Antonio Callaway,48101,WR,1,CLV,2,7,1,15,214.3
Charcandrick West,9047,HB,2,KC,2,-1,0,0,0.0
Jarius Wright,7118,WR,2,CAR,2,39,1,34,87.2
Maurice Harris,11035,WR,2,WAS,2,10,0,0,0.0
Quincy Enunwa,8843,WR,1,NYJ,1,0,0,0,
Matt Schaub,1811,QB,1,ATL,1,0,0,0,
David Moore,11981,WR,1,SEA,1,5,0,0,0.0
Corey Coleman,10649,WR,1,NYG,1,5,0,0,0.0
Chad Kelly,12008,QB,1,DEN,1,-1,0,0,0.0
Melvin Ingram III,7024,ED,1,LAC,1,0,0,0,
Jakeem Grant,10820,WR,1,MIA,1,5,0,0,0.0
JuJu Smith-Schuster,11817,WR,1,PIT,1,13,0,0,0.0
Akiem Hicks,7090,DI,1,CHI,1,1,0,0,0.0
Dante Pettis,48113,WR,1,SF,1,-2,0,0,0.0
DeShone Kizer,11807,QB,1,GB,1,-1,0,0,0.0
Roosevelt Nix,10269,FB,1,PIT,1,4,0,0,0.0
Willie Snead IV,8999,WR,1,BLT,1,13,0,0,0.0
De'Anthony Thomas,8759,WR,1,KC,1,6,0,0,0.0
Equanimeous St. Brown,47967,WR,1,GB,1,5,0,0,0.0
Johnny Townsend,22261,P,1,OAK,1,42,1,42,100.0
Bruce Ellington,8741,WR,1,DET,1,2,0,0,0.0
Raven Greene,24750,S,1,GB,1,26,1,26,100.0
De'Lance Turner,25681,HB,1,BLT,1,4,0,0,0.0
Brandon Powell,48036,WR,1,DET,1,4,0,0,0.0
Sam Bradford,5526,QB,1,ARZ,1,-1,0,0,0.0
Adam Humphries,10075,WR,1,TB,1,7,0,0,0.0
Darius Jennings,10038,WR,1,TEN,1,2,0,0,0.0
Corey Bojorquez,27626,P,1,BUF,1,0,0,0,
Eli Rogers,9878,WR,1,PIT,1,-4,0,0,0.0
DeAndre Carter,9859,WR,1,HST,1,7,0,0,0.0
Darrius Heyward-Bey,4930,WR,1,PIT,1,-7,0,0,0.0
Tommy Bohanon,7997,FB,1,JAX,1,0,0,0,
Rontez Miles,8102,S,1,NYJ,1,4,0,0,0.0
Danny Amendola,4717,WR,1,MIA,1,-2,0,0,0.0
Darren Waller,9637,TE,1,OAK,1,21,1,21,100.0
Jeff Heath,8396,S,1,DAL,1,3,0,0,0.0
Michael Dickson,35381,P,1,SEA,1,9,0,0,0.0
Chester Rogers,10918,WR,1,IND,1,-4,0,0,0.0
Trey Quinn,38276,WR,1,WAS,1,0,0,0,
Chad Henne,4371,QB,1,KC,1,3,0,0,0.0
Brandon Weeden,7028,QB,1,HST,1,-1,0,0,0.0
Ameer Abdullah,9487,HB,1,MIN,1,1,0,0,0.0
Tavon Wilson,7051,S,1,DET,1,7,0,0,0.0
Paul Richardson Jr.,8680,WR,1,WAS,1,7,0,0,0.0
Jordy Nelson,4350,WR,1,OAK,1,-2,0,0,0.0
Marcus Johnson,11074,WR,1,IND,1,-2,0,0,0.0
Allen Robinson II,8696,WR,1,CHI,1,9,0,0,0.0
Keith Smith,9302,FB,1,OAK,1,0,0,0,
Zay Jones,11792,WR,1,BUF,1,0,0,0,
J.J. Jones,66921,WR,1,NYJ,1,0,0,0,
Kenny Golladay,11851,WR,1,DET,1,8,0,0,0.0
Chad Williams,11853,WR,1,ARZ,1,9,0,0,0.0
Tajae Sharpe,10774,WR,1,TEN,1,16,1,16,100.0
Terrelle Pryor Sr.,6944,WR,1,BUF,1,-1,0,0,0.0
DeAndre Hopkins,7808,WR,1,HST,1,-7,0,0,0.0
C.J. Prosise,10724,HB,1,SEA,1,-3,0,0,0.0
Riley Dixon,10862,P,1,NYG,1,14,0,0,0.0
Nick Bellore,6515,FB,1,DET,1,0,0,0,
Leonte Carroo,10720,WR,1,MIA,1,14,0,0,0.0
Trey Burton,9185,TE,1,CHI,1,2,0,0,0.0
Matt Cassel,2447,QB,1,DET,1,-1,0,0,0.0
Jehu Chesson,11894,WR,1,WAS,1,-4,0,0,0.0
Kyle Lauletta,46452,QB,1,NYG,1,-2,0,0,0.0
Niles Paul,6307,TE,1,JAX,1,-3,0,0,0.0
George Kittle,11901,TE,1,SF,1,10,0,0,0.0
Anthony Sherman,6288,FB,1,KC,1,2,0,0,0.0
Rod Streater,7416,WR,1,CLV,1,-11,0,0,0.0
Jamal Agnew,11920,CB,1,DET,1,17,1,17,100.0
Derek Anderson,2430,QB,1,BUF,1,-1,0,0,0.0
Courtland Sutton,48164,WR,1,DEN,1,-1,0,0,0.0
Hayden Hurst,47294,TE,1,BLT,1,0,0,0,
Luke Stocker,6256,TE,1,TEN,1,0,0,0,
Patrick DiMarco,6997,FB,1,BUF,1,9,0,0,0.0
