player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Mark Ingram II,6180,HB,16,NO,239,52,21.8,15,6.3,5,33.3,3,0,21,1.4,1,0.0,60.0
Dorial Green-Beckham,9473,WR,15,PHI,422,67,15.9,27,6.4,5,18.5,3,1,40,1.48,0,25.0,60.0
Ed Dickson,5595,TE,16,CAR,138,17,12.3,61,44.2,10,16.4,6,2,56,0.92,0,25.0,60.0
Charone Peake,10875,WR,13,NYJ,227,33,14.5,175,77.1,25,14.3,15,2,155,0.89,0,11.8,60.0
Markus Wheaton,7860,WR,3,PIT,70,9,12.9,48,68.6,5,10.4,3,0,21,0.44,0,0.0,60.0
Duke Johnson Jr.,9510,HB,16,CLV,277,68,24.5,23,8.3,5,21.7,3,0,29,1.26,0,0.0,60.0
Trey Burton,9185,TE,15,PHI,223,57,25.6,139,62.3,32,23.0,19,2,182,1.31,0,9.5,59.4
Clive Walford,9501,TE,15,OAK,338,49,14.5,151,44.7,22,14.6,13,5,135,0.89,1,27.8,59.1
Lance Kendricks,6199,TE,16,LA,356,74,20.8,118,33.1,22,18.6,13,2,85,0.72,0,13.3,59.1
Jeremy Kerley,6305,WR,16,SF,498,108,21.7,451,90.6,102,22.6,60,3,627,1.39,3,4.8,58.8
Albert Wilson,8943,WR,16,KC,323,50,15.5,252,78.0,34,13.5,20,3,152,0.6,2,13.0,58.8
Devin Funchess,9474,WR,15,CAR,267,54,20.2,70,26.2,12,17.1,7,0,92,1.31,1,0.0,58.3
Sammy Watkins,8639,WR,8,BUF,222,50,22.5,46,20.7,12,26.1,7,2,72,1.57,1,22.2,58.3
Travaris Cadet,7457,HB,15,NO,213,50,23.5,37,17.4,12,32.4,7,2,39,1.05,1,22.2,58.3
Tyrell Williams,10154,WR,16,SD,567,111,19.6,132,23.3,31,23.5,18,3,328,2.48,1,14.3,58.1
Justin Hunter,7815,WR,13,BUF,187,23,12.3,52,27.8,7,13.5,4,0,73,1.4,3,0.0,57.1
Rod Streater,7416,WR,16,SF,158,27,17.1,34,21.5,7,20.6,4,1,46,1.35,0,20.0,57.1
Alshon Jeffery,7048,WR,12,CHI,439,92,21.0,75,17.1,14,18.7,8,0,111,1.48,0,0.0,57.1
Austin Seferian-Jenkins,8673,TE,9,NYJ,108,21,19.4,50,46.3,7,14.0,4,0,66,1.32,1,0.0,57.1
Julius Thomas,6281,TE,9,JAX,296,47,15.9,97,32.8,14,14.4,8,1,81,0.84,1,11.1,57.1
Andre Roberts,5612,WR,16,DET,171,25,14.6,68,39.8,7,10.3,4,1,60,0.88,1,20.0,57.1
Jermaine Gresham,5546,TE,16,ARZ,334,58,17.4,60,18.0,7,11.7,4,0,61,1.02,1,0.0,57.1
DeSean Jackson,4363,WR,15,WAS,493,89,18.1,150,30.4,21,14.0,12,0,219,1.46,1,0.0,57.1
Dontrelle Inman,6597,WR,16,SD,577,89,15.4,357,61.9,39,10.9,22,2,343,0.96,2,8.3,56.4
Nelson Agholor,9453,WR,15,PHI,531,62,11.7,117,22.0,16,13.7,9,2,100,0.85,1,18.2,56.3
Tavon Austin,7789,WR,15,LA,471,101,21.4,258,54.8,51,19.8,28,2,270,1.05,3,6.7,54.9
Will Tye,10070,TE,16,NYG,364,68,18.7,74,20.3,11,14.9,6,0,45,0.61,1,0.0,54.5
Brandon Marshall,3064,WR,15,NYJ,547,121,22.1,108,19.7,26,24.1,14,2,178,1.65,0,12.5,53.8
Emmanuel Sanders,5606,WR,16,DEN,539,131,24.3,128,23.7,26,20.3,14,1,193,1.51,3,6.7,53.8
Quincy Enunwa,8843,WR,16,NYJ,540,99,18.3,401,74.3,67,16.7,36,11,488,1.22,3,23.4,53.7
Jeremy Maclin,4942,WR,12,KC,386,72,18.7,183,47.4,28,15.3,15,1,152,0.83,0,6.3,53.6
