year,player,player_id,position,player_game_count,team_name,snaps,run_snaps,run_tackles,run_assists,run_misses,run_stops,run_tackle_efficiency,pass_snaps,pass_tackles,pass_assists,pass_misses,pass_stops,pass_tackle_efficiency,combined_tackle_efficiency
2018,Eric Wilson,38587,LB,14,MIN,319,122,15,3,1,9,19,197,11,0,5,7,3.2,5.8
2018,Sharrod Neasman,11050,S,11,ATL,411,148,15,4,3,7,7.3,263,21,3,6,8,5,5.8
2018,Geno Atkins,5643,DI,16,CIN,763,290,22,14,4,19,10,473,2,0,4,9,1.5,5.8
2018,Darian Stewart,5820,S,14,DEN,825,343,21,6,3,4,10,482,30,0,9,6,4.3,5.8
2018,Antonio Morrison,10759,LB,16,GB,287,167,18,11,5,12,6.8,120,8,1,3,4,4,5.8
2018,J.J. Watt,6163,ED,16,HST,918,308,34,6,7,32,6.7,610,2,1,2,17,2.5,5.8
2018,Brooks Reed,6194,ED,16,ATL,438,184,11,6,4,10,5.3,254,7,0,1,2,8,5.8
2018,Ahkello Witherspoon,11821,CB,13,SF,666,259,12,2,4,4,4.5,407,22,2,4,2,7,5.8
2018,Jamar Taylor,7835,CB,12,DEN,289,128,3,1,1,0,5,161,14,1,3,1,6,5.8
2018,Minkah Fitzpatrick,51206,CB,16,MIA,885,374,21,7,6,9,5.7,511,38,0,8,10,5.8,5.7
2018,De'Vante Bausby,10057,CB,4,PHI,138,50,6,0,1,3,7,88,8,0,2,1,5,5.7
2018,Demarcus Lawrence,8669,ED,16,DAL,703,228,37,6,6,28,8.2,475,4,0,4,16,2,5.7
2018,Mike Mitchell,4970,S,8,IND,214,71,12,1,3,5,5.3,143,15,0,3,6,6,5.7
2018,Kyler Fackrell,10722,ED,16,GB,596,247,14,8,5,11,5.4,349,10,1,2,16,6.5,5.7
2018,Duke Riley,11830,LB,14,ATL,391,155,15,10,7,6,4.6,236,27,4,5,8,7.2,5.7
2018,Trevor Williams,11004,CB,8,LAC,395,141,1,0,1,0,2,254,22,0,4,4,6.5,5.6
2018,Johnathan Hankins,7830,DI,15,OAK,543,318,23,6,6,18,5.8,225,3,0,1,2,4,5.6
2018,T.J. Watt,11785,ED,16,PIT,853,302,35,4,5,32,8.8,551,11,1,6,15,3,5.6
2018,Justin Coleman,9892,CB,16,SEA,649,174,4,1,3,2,2.7,475,30,1,5,10,7.2,5.5
2018,Joe Haden,5532,CB,15,PIT,887,307,10,3,5,3,3.6,580,41,5,8,10,6.8,5.5
2018,Joey Bosa,10637,ED,7,LAC,288,101,12,4,1,9,17,187,2,0,3,5,1.7,5.5
2018,Tavon Young,10738,CB,15,BLT,563,166,8,0,1,4,9,397,27,1,7,11,5,5.5
2018,Isaac Rochell,11980,ED,16,LAC,505,158,15,2,4,14,5.3,347,1,0,0,4,1.00E+03,5.5
2018,Tim Settle,48966,DI,14,WAS,130,65,8,1,1,6,10,65,0,0,1,0,1,5.5
2018,Denico Autry,8982,DI,12,IND,524,195,17,4,4,13,6.3,329,4,2,2,12,4,5.5
2018,Ezekiel Ansah,8094,ED,7,DET,137,36,4,4,0,4,1.00E+03,101,1,0,2,5,1.5,5.5
2018,Leonard Johnson,7385,CB,3,ARZ,85,22,1,0,0,0,1.00E+03,63,8,0,2,2,5,5.5
2018,DeShawn Shead,7450,CB,12,DET,232,56,1,0,0,0,1.00E+03,176,7,1,2,1,5,5.5
2018,Johnathan Joseph,2969,CB,14,HST,771,268,6,2,3,5,3.7,503,46,4,10,16,6,5.5
2018,Rodney McLeod,7271,S,3,PHI,155,48,4,1,2,1,3.5,107,4,0,0,1,1.00E+03,5.5
2018,Melvin Ingram III,7024,ED,16,LAC,864,325,22,9,5,19,7.2,539,4,1,3,10,2.7,5.5
2018,Matt Milano,11918,LB,13,BUF,702,292,39,12,14,26,4.6,410,26,6,5,11,7.4,5.4
2018,Kareem Martin,8719,ED,16,NYG,578,259,20,8,6,19,5.7,319,5,2,2,3,4.5,5.4
2018,Briean Boddy-Calhoun,10903,CB,14,CLV,618,183,5,2,4,0,2.8,435,42,3,8,12,6.6,5.3
2018,Bruce Irvin,7021,ED,16,ATL,442,166,8,5,1,5,14,276,3,1,3,9,2.3,5.3
2018,LeShaun Sims,10791,CB,13,TEN,202,73,3,2,3,3,2.7,129,11,1,1,2,13,5.3
2018,Jason Pierre-Paul,5540,ED,16,TB,887,364,35,8,7,26,7.1,523,8,0,5,16,2.6,5.3
2018,Bradley Chubb,48526,ED,16,DEN,803,311,33,9,5,23,9.4,492,4,1,6,12,1.8,5.3
2018,Dorian O'Daniel,51487,LB,13,KC,283,51,6,2,2,4,5,232,15,3,4,8,5.5,5.3
2018,Matt Longacre,9910,ED,13,LA,269,133,7,4,3,4,4.7,136,1,1,0,1,1.00E+03,5.3
2018,Tedric Thompson,11866,S,14,SEA,632,216,14,2,4,1,5,416,26,4,7,1,5.3,5.2
2018,Allen Bailey,6238,DI,16,KC,792,262,24,11,8,19,5.4,530,1,2,1,7,4,5.2
2018,Justin Houston,6222,ED,12,KC,669,250,18,4,3,13,8.3,419,6,1,4,13,2.8,5.1
2018,Frostee Rucker,3036,ED,15,OAK,520,298,30,5,9,22,4.9,222,2,0,0,0,1.00E+03,5.1
2018,William Jackson III,10658,CB,16,CIN,1022,418,11,2,4,4,4.3,604,22,2,5,7,5.8,5.1
2018,Eli Apple,10644,CB,15,NO,865,301,9,4,7,2,2.9,564,57,3,11,13,6.5,5.1
2018,Sylvester Williams,7809,DI,14,MIA,359,198,11,1,2,8,7,161,0,0,1,0,1,5
2018,Nick DeLuca,23189,LB,4,JAX,73,37,3,2,2,3,3.5,36,3,0,0,2,1.00E+03,5
2018,Danny Johnson,49379,CB,6,WAS,62,18,1,0,1,0,2,44,7,0,1,3,8,5
2018,Jordan Lucas,10838,S,7,KC,251,87,6,4,4,1,3.5,164,8,2,1,1,11,5
2018,Nicholas Morrow,51674,LB,14,OAK,399,156,17,4,4,11,6.3,243,10,1,4,4,3.8,5
2018,Tae Davis,26296,LB,11,NYG,327,121,14,7,1,7,22,206,11,0,7,7,2.6,5
2018,Tanner Vallejo,11950,LB,6,CLV,139,59,8,4,4,7,4,80,8,0,1,4,9,5
2018,Corey Moore,10117,S,6,IND,50,21,1,1,1,0,3,29,2,0,0,0,1.00E+03,5
2018,DeAndre Houston-Carson,10819,S,8,CHI,45,9,1,0,1,0,2,36,3,0,0,1,1.00E+03,5
2018,Christian Kirksey,8706,LB,7,CLV,452,171,15,3,3,11,7,281,17,1,6,2,4,5
2018,Frankie Luvu,51028,ED,14,NYJ,417,133,11,1,2,8,7,284,8,0,3,7,3.7,5
2018,Nicholas Grigsby,11187,LB,5,DET,28,13,1,1,0,1,1.00E+03,15,2,0,1,0,3,5
2018,Antone Exum Jr.,8817,S,14,SF,558,241,19,4,4,7,6.8,317,13,0,5,1,3.6,5
2018,Nazair Jones,11857,DI,9,SEA,126,57,5,2,2,4,4.5,69,0,1,0,0,1.00E+03,5
2018,Carroll Phillips,48353,ED,5,IND,56,21,3,0,0,1,1.00E+03,35,0,1,1,0,2,5
2018,Mike Hull,9815,LB,3,MIA,60,39,4,2,1,1,7,21,2,0,1,1,3,5
2018,Henry Anderson,9526,DI,16,NYJ,628,191,20,7,5,16,6.4,437,2,2,3,9,2.3,4.9
2018,Jack Crawford,7151,DI,16,ATL,587,206,11,13,4,8,7,381,2,1,3,7,2,4.9
2018,Al Woods,5646,DI,14,IND,364,182,10,7,4,6,5.3,182,2,0,1,1,3,4.8
2018,Derrick Kindred,10763,S,16,CLV,472,213,11,2,5,2,3.6,259,23,2,5,7,6,4.8
