player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
Ronald Blair III,10776,ED,16,SF,328,313,95.4,8,8,15,31,6.2,112,36.0,4,3,5,12,7.1,199,64.0,4,5,10,19,5.8
Will Parks,10853,S,16,DEN,347,33,9.5,0,2,2,4,6.1,12,36.4,0,1,1,2,8.3,21,63.6,0,1,1,2,4.8
Benson Mayowa,8196,ED,15,ARZ,288,269,93.4,4,7,18,29,6.1,262,97.4,4,6,17,27,5.9,7,2.6,0,1,1,2,14.3
Akiem Hicks,7090,DI,16,CHI,487,484,99.4,8,10,33,51,6.1,445,94.9,8,9,31,48,6.3,24,5.1,0,1,2,3,6.3
Jullian Taylor,48684,ED,6,SF,33,33,100.0,0,1,3,4,6.1,22,66.7,0,0,3,3,6.8,11,33.3,0,1,0,1,4.5
Javon Hargrave,10723,DI,16,PIT,230,229,99.6,7,1,13,21,6.1,114,83.2,5,0,4,9,6.1,23,16.8,0,0,2,2,4.3
Dante Fowler Jr.,9436,ED,15,LA,372,354,95.2,4,5,30,39,6.1,152,42.9,2,3,17,22,7.9,202,57.1,2,2,13,17,4.7
John Jenkins,7863,DI,7,NYG,25,25,100.0,0,1,2,3,6.0,13,52.0,0,1,1,2,7.7,12,48.0,0,0,1,1,4.2
Tom Johnson,3378,DI,14,MIN,241,240,99.6,5,3,16,24,6.0,152,63.9,4,3,13,20,7.9,86,36.1,1,0,3,4,2.9
Anthony Hitchens,8754,LB,15,KC,534,50,9.4,0,1,5,6,6.0,23,48.9,0,0,1,1,2.2,24,51.1,0,1,4,5,10.4
Romeo Okwara,11250,ED,15,DET,398,390,98.0,8,7,24,39,6.0,65,17.0,1,1,7,9,7.7,318,83.0,7,6,16,29,5.7
Deatrich Wise Jr.,11886,ED,16,NE,283,283,100.0,5,10,14,29,6.0,149,52.7,2,7,8,17,6.4,134,47.3,3,3,6,12,5.6
Bruce Hector,48759,DI,8,PHI,50,50,100.0,1,0,4,5,6.0,17,35.4,0,0,1,1,2.9,31,64.6,1,0,3,4,8.1
Bud Dupree,9455,ED,16,PIT,533,441,82.7,6,8,32,46,5.9,29,6.6,1,1,3,5,10.3,408,93.4,5,7,29,41,5.6
Kyle Emanuel,9586,LB,14,LAC,100,17,17.0,0,1,1,2,5.9,6,35.3,0,1,0,1,8.3,11,64.7,0,0,1,1,4.5
Duron Harmon,7872,S,16,NE,433,17,3.9,0,1,1,2,5.9,4,23.5,0,0,1,1,12.5,13,76.5,0,1,0,1,3.8
Jurrell Casey,6229,DI,15,TEN,442,439,99.3,8,6,30,44,5.9,178,47.6,5,0,11,16,5.9,196,52.4,3,6,15,24,6.9
De'Vondre Campbell,10749,LB,16,ATL,532,94,17.7,2,1,6,9,5.9,42,46.2,0,0,3,3,3.6,49,53.8,2,1,3,6,8.2
Dawuane Smoot,11823,ED,8,JAX,116,111,95.7,0,4,9,13,5.9,79,71.2,0,3,8,11,7.0,32,28.8,0,1,1,2,3.1
Jason Pierre-Paul,5540,ED,16,TB,521,505,96.9,13,8,25,46,5.8,100,19.8,2,1,7,10,6.0,405,80.2,11,7,18,36,5.8
Leonard Williams,9439,DI,16,NYJ,511,509,99.6,6,16,31,53,5.8,358,72.8,6,10,27,43,6.8,134,27.2,0,4,4,8,3.0
Da'Shawn Hand,48386,DI,13,DET,243,243,100.0,3,0,22,25,5.8,120,62.2,3,0,9,12,6.3,73,37.8,0,0,5,5,3.4
Kiko Alonso,7827,LB,15,MIA,528,69,13.1,0,1,7,8,5.8,33,50.0,0,0,2,2,3.0,33,50.0,0,1,5,6,9.1
Jonathan Woodard,10860,ED,6,MIA,53,52,98.1,1,1,3,5,5.8,41,78.8,1,1,3,5,7.3,11,21.2,0,0,0,0,0.0
Vita Vea,48956,DI,13,TB,253,248,98.0,3,1,22,26,5.8,129,54.0,0,0,10,10,3.9,110,46.0,3,1,12,16,8.6
Samson Ebukam,11880,ED,16,LA,386,285,73.8,3,3,24,30,5.8,146,51.2,2,1,16,19,7.2,139,48.8,1,2,8,11,4.3
John Simon,7911,ED,11,NE,133,120,90.2,2,1,9,12,5.8,95,80.5,1,1,5,7,4.2,23,19.5,1,0,4,5,13.0
Kyle Wilber,7113,ED,4,OAK,31,26,83.9,0,0,3,3,5.8,11,42.3,0,0,3,3,13.6,15,57.7,0,0,0,0,0.0
Everson Griffen,5624,ED,11,MIN,315,307,97.5,7,6,15,28,5.7,10,3.3,0,1,0,1,5.0,297,96.7,7,5,15,27,5.7
Thomas Davis Sr.,2231,LB,12,CAR,375,61,16.3,0,2,5,7,5.7,31,50.8,0,1,0,1,1.6,30,49.2,0,1,5,6,10.0
Dan McCullers,8849,DI,14,PIT,44,44,100.0,1,0,3,4,5.7,16,59.3,0,0,0,0,0.0,11,40.7,0,0,1,1,4.5
Vincent Taylor,11949,DI,8,MIA,97,97,100.0,2,0,7,9,5.7,82,87.2,2,0,4,6,4.9,12,12.8,0,0,3,3,12.5
Eli Harold,9512,ED,11,DET,121,106,87.6,4,1,3,8,5.7,38,35.8,1,0,2,3,5.3,68,64.2,3,1,1,5,5.9
Sam Hubbard,48457,ED,16,CIN,333,312,93.7,6,4,19,29,5.6,156,50.3,2,1,8,11,4.2,154,49.7,4,2,11,17,6.8
Javien Elliott,11418,CB,11,TB,229,18,7.9,0,1,1,2,5.6,8,44.4,0,0,1,1,6.3,10,55.6,0,1,0,1,5.0
Alex Okafor,7885,ED,16,NO,423,394,93.1,5,7,27,39,5.6,64,16.3,0,1,5,6,4.7,328,83.7,5,6,22,33,5.8
Daniel Sorensen,9253,S,7,KC,199,18,9.0,0,1,1,2,5.6,8,44.4,0,1,1,2,12.5,10,55.6,0,0,0,0,0.0
Carlos Dunlap,5579,ED,16,CIN,516,504,97.7,8,14,26,48,5.6,345,68.6,6,10,16,32,5.5,158,31.4,2,4,10,16,5.7
Parry Nickerson,50511,CB,8,NYJ,152,9,5.9,0,0,1,1,5.6,4,44.4,0,0,1,1,12.5,5,55.6,0,0,0,0,0.0
Jeremiah Ledbetter,11960,DI,1,TB,9,9,100.0,0,0,1,1,5.6,8,88.9,0,0,0,0,0.0,1,11.1,0,0,1,1,50.0
Bilal Nichols,28451,DI,14,CHI,186,186,100.0,4,4,9,17,5.6,67,41.1,2,3,5,10,9.0,96,58.9,2,1,2,5,3.6
Matt Longacre,9910,ED,13,LA,136,127,93.4,1,5,7,13,5.5,52,40.9,1,2,3,6,6.7,75,59.1,0,3,4,7,4.7
