player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Levine Toilolo,7915,TE,15,ATL,14,12,1,13,7.7
Ryan Griffin,7982,TE,7,HST,22,12,1,13,7.7
Phillip Dorsett,9462,WR,15,NE,17,12,1,13,7.7
Roger Lewis Jr.,11246,WR,15,NYG,71,36,3,39,7.7
Travis Kelce,7844,TE,15,KC,117,83,7,90,7.8
Melvin Gordon III,9448,HB,16,LAC,73,58,5,63,7.9
LeSean McCoy,4976,HB,16,BUF,71,58,5,63,7.9
Josh Doctson,10656,WR,16,WAS,72,35,3,38,7.9
Jamaal Charles,4387,HB,14,DEN,27,23,2,25,8.0
Bilal Powell,6278,HB,15,NYJ,29,23,2,25,8.0
DeAndre Washington,10777,HB,15,OAK,43,34,3,37,8.1
Charles Sims,8704,HB,16,TB,44,34,3,37,8.1
Chris Hogan,6468,WR,9,NE,58,34,3,37,8.1
Coby Fleener,7038,TE,11,NO,29,22,2,24,8.3
Julio Jones,6158,WR,16,ATL,143,88,8,96,8.3
Pharoh Cooper,10751,WR,16,LA,18,11,1,12,8.3
Josh Reynolds,11872,WR,15,LA,23,11,1,12,8.3
Samaje Perine,11869,HB,12,WAS,24,22,2,24,8.3
Troy Niklas,8687,TE,15,ARZ,20,11,1,12,8.3
Trent Taylor,11932,WR,15,SF,59,43,4,47,8.5
Eric Decker,5611,WR,16,TEN,83,54,5,59,8.5
Seth Roberts,9079,WR,15,OAK,65,43,4,47,8.5
Giovani Bernard,7818,HB,16,CIN,53,43,4,47,8.5
David Njoku,11784,TE,16,CLV,58,32,3,35,8.6
Terrance Williams,7855,WR,16,DAL,75,53,5,58,8.6
Robby Anderson,11254,WR,16,NYJ,111,63,6,69,8.7
Garrett Celek,7274,TE,16,SF,30,21,2,23,8.7
Tyler Kroft,9518,TE,16,CIN,59,42,4,46,8.7
George Kittle,11901,TE,15,SF,60,42,4,46,8.7
Michael Floyd,7019,WR,11,MIN,14,10,1,11,9.1
T.J. Jones,8824,WR,14,DET,45,30,3,33,9.1
Justin Hardy,9540,WR,16,ATL,29,20,2,22,9.1
Corey Clement,12253,HB,15,PHI,14,10,1,11,9.1
Kerwynn Williams,8013,HB,13,ARZ,15,10,1,11,9.1
Damiere Byrd,9964,WR,8,CAR,16,10,1,11,9.1
Martellus Bennett,4375,TE,9,NE,41,30,3,33,9.1
Michael Crabtree,4933,WR,14,OAK,99,58,6,64,9.4
Kelvin Benjamin,8663,WR,14,BUF,78,48,5,53,9.4
Bruce Ellington,8741,WR,11,HST,50,29,3,32,9.4
Michael Campanaro,8852,WR,13,BLT,24,19,2,21,9.5
Emmanuel Sanders,5606,WR,12,DEN,87,47,5,52,9.6
Jamison Crowder,9538,WR,15,WAS,96,66,7,73,9.6
Will Fuller V,10655,WR,10,HST,47,28,3,31,9.7
C.J. Anderson,8101,HB,16,DEN,35,28,3,31,9.7
Kenny Golladay,11851,WR,11,DET,48,28,3,31,9.7
Brandin Cooks,8655,WR,16,NE,109,65,7,72,9.7
Keenan Allen,7857,WR,16,LAC,147,102,11,113,9.7
Marquise Goodwin,7859,WR,16,SF,99,56,6,62,9.7
Devonta Freeman,8738,HB,13,ATL,41,36,4,40,10.0
Jacquizz Rodgers,6297,HB,13,TB,11,9,1,10,10.0
Brandon Marshall,3064,WR,5,NYG,32,18,2,20,10.0
Jeff Heuerman,9525,TE,14,DEN,18,9,1,10,10.0
Jared Cook,5012,TE,16,OAK,83,54,6,60,10.0
Kasen Williams,10195,WR,7,CLV,17,9,1,10,10.0
Malcolm Brown,9902,HB,11,LA,11,9,1,10,10.0
Cooper Kupp,11824,WR,15,LA,90,62,7,69,10.1
Eric Ebron,8645,TE,16,DET,81,53,6,59,10.2
Vernon Davis,2951,TE,16,WAS,68,43,5,48,10.4
Travis Benjamin,7100,WR,16,LAC,63,34,4,38,10.5
Wayne Gallman,11895,HB,13,NYG,42,34,4,38,10.5
Jamaal Williams,11889,HB,13,GB,33,25,3,28,10.7
Seth DeValve,10772,TE,16,CLV,53,33,4,37,10.8
Demaryius Thomas,5547,WR,16,DEN,136,83,10,93,10.8
Austin Hooper,10715,TE,16,ATL,62,49,6,55,10.9
Paul Perkins,10783,HB,6,NYG,9,8,1,9,11.1
Marcedes Lewis,2973,TE,16,JAX,45,24,3,27,11.1
Jimmy Graham,5619,TE,16,SEA,91,56,7,63,11.1
Derek Carrier,7406,TE,14,LA,11,8,1,9,11.1
Eric Tomlinson,9786,TE,14,NYJ,10,8,1,9,11.1
Mack Hollins,11873,WR,16,PHI,21,16,2,18,11.1
Chester Rogers,10918,WR,11,IND,36,23,3,26,11.5
Luke Willson,7940,TE,16,SEA,20,15,2,17,11.8
Tyler Boyd,10689,WR,10,CIN,31,22,3,25,12.0
Bennie Fowler,8914,WR,16,DEN,54,29,4,33,12.1
Tyrell Williams,10154,WR,16,LAC,68,43,6,49,12.2
C.J. Fiedorowicz,8700,TE,5,HST,21,14,2,16,12.5
Ross Travis,10320,TE,14,IND,16,7,1,8,12.5
Marqise Lee,8674,WR,14,JAX,91,56,8,64,12.5
Charles Clay,6326,TE,13,BUF,72,49,7,56,12.5
Leonte Carroo,10720,WR,8,MIA,12,7,1,8,12.5
Demarcus Robinson,10760,WR,16,KC,37,21,3,24,12.5
Patrick DiMarco,6997,FB,14,BUF,10,7,1,8,12.5
Darren Sproles,2347,HB,3,PHI,12,7,1,8,12.5
Mike Tolbert,4740,HB,12,BUF,16,14,2,16,12.5
C.J. Ham,11347,FB,15,MIN,8,7,1,8,12.5
John Brown,8726,WR,10,ARZ,51,21,3,24,12.5
Alfred Morris,7165,HB,13,DAL,8,7,1,8,12.5
Tevin Coleman,9506,HB,15,ATL,36,27,4,31,12.9
Dede Westbrook,11865,WR,7,JAX,49,27,4,31,12.9
Marshawn Lynch,3628,HB,15,OAK,29,20,3,23,13.0
Jermaine Gresham,5546,TE,14,ARZ,45,33,5,38,13.2
Carlos Hyde,8692,HB,16,SF,83,59,9,68,13.2
Daniel Brown,10144,TE,9,CHI,20,13,2,15,13.3
Donte Moncrief,8725,WR,12,IND,41,26,4,30,13.3
Jakeem Grant,10820,WR,12,MIA,21,13,2,15,13.3
Kenyan Drake,10707,HB,13,MIA,43,32,5,37,13.5
Chris Moore,10741,WR,12,BLT,34,18,3,21,14.3
Josh Bellamy,7472,WR,13,CHI,44,24,4,28,14.3
Neal Sterling,9653,TE,9,NYJ,12,6,1,7,14.3
Richard Rodgers,8733,TE,14,GB,17,12,2,14,14.3
Byron Marshall,11076,HB,3,WAS,8,6,1,7,14.3
Lawrence Thomas,11265,FB,13,NYJ,7,6,1,7,14.3
Jaydon Mickens,11371,WR,8,JAX,11,6,1,7,14.3
Brandon Tate,5006,WR,9,BUF,14,6,1,7,14.3
Ryan Switzer,11888,WR,13,DAL,7,6,1,7,14.3
Tommy Bohanon,7997,FB,15,JAX,11,6,1,7,14.3
Evan Engram,11778,TE,15,NYG,108,64,11,75,14.7
Corey Coleman,10649,WR,9,CLV,50,23,4,27,14.8
Dez Bryant,5549,WR,16,DAL,126,69,12,81,14.8
Geronimo Allison,11141,WR,15,GB,38,23,4,27,14.8
Alex Collins,10805,HB,13,BLT,32,23,4,27,14.8
Paul Richardson Jr.,8680,WR,16,SEA,80,44,8,52,15.4
Mike Williams,11762,WR,10,LAC,23,11,2,13,15.4
Zay Jones,11792,WR,15,BUF,65,27,5,32,15.6
Gerald Everett,11799,TE,16,LA,30,16,3,19,15.8
Marlon Mack,11898,HB,14,IND,30,21,4,25,16.0
Torrey Smith,6210,WR,16,PHI,63,36,7,43,16.3
Brice Butler,7991,WR,13,DAL,22,15,3,18,16.7
C.J. Uzomah,9590,TE,14,CIN,13,10,2,12,16.7
Alan Cross,10931,FB,8,TB,6,5,1,6,16.7
Bryce Treggs,11278,WR,6,CLV,17,5,1,6,16.7
Chris Thompson,12330,WR,7,HST,6,5,1,6,16.7
Stephen Anderson,11160,TE,15,HST,50,25,5,30,16.7
Dion Sims,7888,TE,14,CHI,27,15,3,18,16.7
Hunter Sharp,11078,WR,3,NYG,9,5,1,6,16.7
Dontrelle Inman,6597,WR,11,CHI,43,25,5,30,16.7
Terrelle Pryor Sr.,6944,WR,9,WAS,35,20,4,24,16.7
Jay Ajayi,9582,HB,14,PHI,33,24,5,29,17.2
Amari Cooper,9437,WR,14,OAK,90,48,10,58,17.2
Aldrick Robinson,6330,WR,16,SF,44,19,4,23,17.4
Vance McDonald,7836,TE,10,PIT,22,14,3,17,17.6
Eli Rogers,9878,WR,14,PIT,36,18,4,22,18.2
Thomas Rawls,9993,HB,11,SEA,13,9,2,11,18.2
Lance Kendricks,6199,TE,15,GB,28,18,4,22,18.2
Odell Beckham Jr.,8647,WR,4,NYG,41,25,6,31,19.4
J.J. Nelson,9592,WR,16,ARZ,59,29,7,36,19.4
Travis Rudolph,47997,WR,7,NYG,22,8,2,10,20.0
Rob Kelley,11090,HB,7,WAS,5,4,1,5,20.0
Jerell Adams,10818,TE,15,NYG,11,8,2,10,20.0
Elijhaa Penny,11300,HB,10,ARZ,5,4,1,5,20.0
Michael Clark,12107,WR,2,GB,14,4,1,5,20.0
Ricky Seals-Jones,12020,TE,8,ARZ,28,12,3,15,20.0
Noah Brown,11993,WR,12,DAL,9,4,1,5,20.0
Nick Vannett,10728,TE,15,SEA,15,12,3,15,20.0
Will Tye,10070,TE,3,NYJ,6,4,1,5,20.0
Isaiah McKenzie,11927,WR,10,DEN,12,4,1,5,20.0
Kenny Britt,4953,WR,12,NE,40,20,5,25,20.0
Michael Roberts,11882,TE,13,DET,5,4,1,5,20.0
Ricardo Louis,10748,WR,15,CLV,55,27,7,34,20.6
Jordan Howard,10784,HB,16,CHI,31,23,6,29,20.7
Orleans Darkwa,9173,HB,15,NYG,26,19,5,24,20.8
Curtis Samuel,11795,WR,9,CAR,26,15,4,19,21.1
Derrick Henry,10679,HB,16,TEN,14,11,3,14,21.4
Dalvin Cook,11796,HB,4,MIN,15,11,3,14,21.4
Matt Breida,12271,HB,16,SF,34,21,6,27,22.2
Nick Williams,8005,WR,1,ATL,4,3,1,4,25.0
Tanner Gentry,12170,WR,4,CHI,5,3,1,4,25.0
C.J. Prosise,10724,HB,5,SEA,10,6,2,8,25.0
Darrell Daniels,12122,TE,12,IND,12,3,1,4,25.0
Chris Matthews,6820,WR,5,BLT,6,3,1,4,25.0
Josh Ferguson,10907,HB,3,IND,4,3,1,4,25.0
