player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
Elijah McGuire,11943,HB,14,NYJ,26,17,177,128,1.38
Chris Thompson,12330,WR,7,HST,6,5,84,61,1.38
James O'Shaughnessy,9606,TE,16,JAX,21,14,149,108,1.38
Virgil Green,6356,TE,16,DEN,22,14,191,139,1.37
LeSean McCoy,4976,HB,16,BUF,71,58,443,326,1.36
David Njoku,11784,TE,16,CLV,58,32,386,284,1.36
Kenny Stills,7926,WR,16,MIA,101,58,847,621,1.36
Randall Cobb,6216,WR,15,GB,85,66,653,479,1.36
Terrance Williams,7855,WR,16,DAL,75,53,568,420,1.35
Emmanuel Sanders,5606,WR,12,DEN,87,47,555,411,1.35
Terrance West,8729,HB,5,BLT,4,2,23,17,1.35
Austin Hooper,10715,TE,16,ATL,62,49,526,390,1.35
Martavis Bryant,8753,WR,15,PIT,81,50,603,447,1.35
Dion Lewis,6301,HB,16,NE,33,32,214,159,1.35
Eric Decker,5611,WR,16,TEN,83,54,563,420,1.34
Samaje Perine,11869,HB,12,WAS,24,22,182,136,1.34
Zach Miller,5104,TE,8,CHI,34,20,236,178,1.33
Kyle Rudolph,6195,TE,16,MIN,76,57,532,401,1.33
Le'Veon Bell,7829,HB,15,PIT,103,85,655,498,1.32
D.J. Foster,11214,HB,7,ARZ,27,17,133,101,1.32
Taywan Taylor,11827,WR,16,TEN,26,16,231,176,1.31
Jamaal Williams,11889,HB,13,GB,33,25,262,200,1.31
Phillip Supernaw,7324,TE,12,TEN,6,4,39,30,1.3
Jerell Adams,10818,TE,15,NYG,11,8,92,71,1.3
Sammy Watkins,8639,WR,15,LA,66,39,593,455,1.3
Clive Walford,9501,TE,11,OAK,13,9,80,62,1.29
Paul Richardson Jr.,8680,WR,16,SEA,80,44,703,544,1.29
Dontrelle Inman,6597,WR,11,CHI,43,25,343,265,1.29
Kendrick Bourne,12270,WR,11,SF,31,16,257,201,1.28
Ryan Griffin,7982,TE,7,HST,22,12,158,123,1.28
Peyton Barber,10927,HB,13,TB,18,16,114,90,1.27
Eric Tomlinson,9786,TE,14,NYJ,10,8,121,95,1.27
Adam Humphries,10075,WR,16,TB,82,61,631,499,1.26
Benjamin Watson,1753,TE,16,BLT,77,61,522,417,1.25
