year,player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
2017,Kenny Golladay,11851,WR,11,DET,48,28,58.3,477,3,68,68.1,56.8,76.6,65.7,17,177,6.3,54,18,3,1,0,4,104.3,4,0
2017,Will Fuller V,10655,WR,10,HST,47,28,59.6,423,7,67.2,68.6,56.1,80.3,,15.1,111,4,59,21,3,3,0,0,102.2,2,1
2017,Rashard Higgins,10806,WR,15,CLV,46,27,58.7,312,2,50.4,48.7,65.2,26.4,62.3,11.6,150,5.6,56,13,2,7,1,6,54.2,3,0
2017,Marcedes Lewis,2973,TE,16,JAX,45,24,53.3,318,5,66.1,57.7,53.8,75.7,64.9,13.3,165,6.9,37,18,3,1,0,4,103.8,5,0
2017,Charles Sims,8704,HB,16,TB,45,35,77.8,249,1,57.3,61,64.2,45.6,58.5,7.1,225,6.4,25,12,3,0,1,4,97.1,0,0
2017,T.J. Jones,8824,WR,14,DET,45,30,66.7,399,1,74.7,73.5,59,80.6,,13.3,73,2.4,34,22,3,0,0,0,102,0,0
2017,Jermaine Gresham,5546,TE,14,ARZ,45,33,73.3,322,2,62.8,59.9,45.4,77.3,55.5,9.8,148,4.5,21,17,5,1,0,7,98.6,11,1
2017,Aldrick Robinson,6330,WR,16,SF,44,19,43.2,260,2,55.9,56.2,33.8,74.1,,13.7,40,2.1,45,12,4,1,0,1,68.4,2,0
2017,Antonio Gates,1609,TE,16,LAC,44,30,68.2,316,3,66.1,66.1,77.3,76.5,53,10.5,84,2.8,27,16,1,2,0,1,92.6,1,0
2017,Josh Bellamy,7472,WR,13,CHI,44,24,54.5,376,1,63.8,61.3,41.6,75.6,,15.7,115,4.8,46,17,4,1,0,2,81.3,4,1
2017,Matt Forte,4358,HB,12,NYJ,44,37,84.1,293,1,66.1,85.9,73,70.5,54.1,7.9,274,7.4,34,13,2,0,0,9,102,0,0
2017,J.D. McKissic,11047,HB,13,SEA,44,34,77.3,266,2,67.7,75,71.1,84.3,24.8,7.8,185,5.4,27,12,2,1,0,3,97.3,1,0
2017,Ed Dickson,5595,TE,16,CAR,44,30,68.2,437,1,60.1,60.5,68.8,76.8,70.9,14.6,194,6.5,64,22,2,1,0,5,98.4,1,1
2017,DeMarco Murray,6223,HB,15,TEN,44,39,88.6,266,1,63.3,64.3,75,80.5,81.8,6.8,259,6.6,18,10,2,0,0,11,99.4,1,0
2017,Leonard Fournette,11759,HB,13,JAX,43,36,83.7,302,1,65.6,75.9,72.3,79.2,54.6,8.4,316,8.8,28,16,2,0,0,5,103.7,2,1
2017,DeAndre Washington,10777,HB,15,OAK,43,34,79.1,197,1,57.7,55,61.5,37.4,83.8,5.8,183,5.4,15,14,3,0,1,8,93.5,0,0
2017,Kenyan Drake,10707,HB,13,MIA,43,32,74.4,239,1,74.7,53.7,43.4,60.4,78.4,7.5,222,6.9,47,7,5,0,0,8,95,2,1
2017,Dontrelle Inman,6597,WR,11,CHI,43,25,58.1,343,1,66.1,63.1,33.4,75.5,,13.7,35,1.4,26,19,5,2,0,1,72.1,1,0
2017,Tyler Higbee,10744,TE,16,LA,42,25,59.5,295,1,63.2,62.6,63.6,75.5,52.2,11.8,83,3.3,38,12,2,1,0,4,79,5,0
2017,Wayne Gallman,11895,HB,13,NYG,42,34,81,193,1,70,54.3,45.4,35.2,85.7,5.7,206,6.1,11,8,4,1,0,7,83.8,2,0
2017,Lamar Miller,7097,HB,16,HST,42,36,85.7,327,3,68.9,75.1,90.1,84.5,66.9,9.1,311,8.6,32,17,0,0,0,7,122.9,0,0
2017,Martellus Bennett,4375,TE,9,NE,41,30,73.2,286,0,59.1,57,57.8,76.5,71.6,9.5,170,5.7,33,11,3,1,0,3,82,4,0
2017,Josh Gordon,7618,WR,5,CLV,41,18,43.9,335,1,76.3,76.2,69,73.9,,18.6,113,6.3,54,12,1,1,0,2,70.7,1,0
2017,Devonta Freeman,8738,HB,13,ATL,41,36,87.8,317,1,73.3,63.8,48.4,43.1,73.5,8.8,248,6.9,29,18,4,0,0,10,107,4,0
2017,Cordarrelle Patterson,7810,WR,16,OAK,41,31,75.6,309,0,65.5,65.4,77.8,23,62.4,10,214,6.9,59,13,1,0,0,9,96.5,1,0
2017,Donte Moncrief,8725,WR,12,IND,41,26,63.4,391,2,61.1,61.6,44,75.7,,15,79,3,60,22,4,0,0,2,110.9,3,2
2017,Odell Beckham Jr.,8647,WR,4,NYG,41,25,61,302,3,69.1,69.8,29.5,76.5,,12.1,71,2.8,48,15,6,1,0,4,97.8,3,0
2017,Kenny Britt,4953,WR,12,NE,40,20,50,256,2,56.2,56.3,29.9,74.9,,12.8,86,4.3,38,9,5,3,0,5,55.8,2,0
2017,A.J. Derby,9635,TE,11,MIA,39,21,53.8,244,2,55.6,53.7,59.9,25.1,82.4,11.6,89,4.2,29,11,2,0,1,4,90.1,2,0
2017,Isaiah Crowell,9295,HB,16,CLV,39,28,71.8,182,0,61.2,65.8,76.1,81.4,58.5,6.5,180,6.4,38,9,1,1,0,9,70.7,3,0
2017,Kyle Juszczyk,7912,FB,14,SF,39,33,84.6,315,1,70.4,65.4,78.9,22.7,39.3,9.5,207,6.3,44,13,1,0,2,3,108.9,3,0
2017,Kamar Aiken,6671,WR,15,IND,38,15,39.5,133,0,47,44.8,26.5,73.6,70.6,8.9,46,3.1,21,7,7,2,0,4,27.6,2,0
2017,Geronimo Allison,11141,WR,15,GB,38,23,60.5,253,0,50.9,52.3,40.2,23.9,70.2,11,122,5.3,72,11,4,3,1,1,47.4,1,0
2017,Demarcus Robinson,10760,WR,16,KC,37,21,56.8,212,0,51.9,50.8,37.3,75.3,62.4,10.1,48,2.3,33,14,3,2,0,0,50.7,1,0
