year,player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
2019,Deon Yelder,29556,TE,4,KC,4,3,75,50,0,61.5,62.6,72.1,15,24.5,16.7,33,11,24,2,0,0,0,0,116.7,0,0
2019,Jamize Olawale,7572,FB,14,DAL,4,0,0,0,0,52.2,48.5,,,84.6,,0,,0,0,0,0,0,0,39.6,0,0
2019,Benny Snell Jr.,45954,HB,9,PIT,4,3,75,23,0,67.2,66.5,72.1,66.8,46.9,7.7,21,7,14,1,0,0,0,0,88.5,0,0
2019,Mike Boone,31615,HB,4,MIN,4,3,75,17,0,78.1,43.6,36.2,83,79.8,5.7,26,8.7,7,0,1,1,0,2,42.7,0,0
2019,Alexander Hollins,63664,WR,5,MIN,4,2,50,46,0,55.6,55,27.3,64,,23,5,2.5,35,2,1,0,0,0,91.7,0,0
2019,Tra Carson,11104,HB,2,DET,4,4,100,18,0,58.6,61.3,72.1,77.5,83.1,4.5,16,4,8,0,0,0,0,0,85.4,0,0
2019,T.J. Jones,8824,WR,3,NYG,4,3,75,38,1,57.4,59.9,70.5,76,,12.7,20,6.7,28,2,0,0,0,0,143.8,1,0
2019,Olamide Zaccheaus,44920,WR,9,ATL,4,3,75,115,1,71.5,72.3,70.5,65.8,,38.3,62,20.7,93,2,0,0,0,1,156.3,1,0
2019,Ishmael Hyman,28621,WR,2,TB,4,2,50,34,0,57.4,57.6,29.9,64,,17,1,0.5,31,2,1,1,0,0,39.6,1,0
2019,Tyler Ervin,10753,HB,4,GB,4,2,50,11,0,59.8,55.2,68.3,85.5,74.4,5.5,11,5.5,6,1,0,0,0,0,56.3,0,0
2019,Austin Carr,12215,WR,6,NO,4,1,25,9,0,50.5,50.8,68.3,64,65.7,9,4,4,9,1,0,0,0,0,39.6,2,1
2019,Derek Watt,10832,FB,16,LAC,4,3,75,32,0,57.5,44.2,41.6,73.5,34.2,10.7,28,9.3,21,1,1,0,0,1,97.9,0,0
2019,Eric Saubert,11929,TE,2,CHI,3,2,66.7,21,0,52.3,50.2,29.9,64,70.2,10.5,19,9.5,11,1,1,0,0,0,86.8,0,0
2019,Michael Walker,48213,WR,3,JAX,3,2,66.7,15,0,67.2,66.1,68.3,20.5,,7.5,7,3.5,9,1,0,0,0,0,78.5,0,0
2019,Fred Brown,23172,WR,10,DEN,3,2,66.7,21,0,60.1,60.3,72.1,69,78.1,10.5,-1,-0.5,16,1,0,0,0,0,86.8,1,0
2019,Antony Auclair,24606,TE,8,TB,3,1,33.3,11,0,38,47.7,64.7,61.2,58.2,11,8,8,11,1,0,0,0,0,45.1,2,0
2019,Zach Zenner,9761,HB,2,MIA,3,2,66.7,19,0,46.5,44.4,29.9,69,46.8,9.5,20,10,13,2,1,0,0,0,84,0,0
2019,Da'Mari Scott,39588,WR,5,NYG,3,2,66.7,22,0,56.5,58.2,29.9,77.6,,11,14,7,11,2,1,0,0,0,88.2,0,0
2019,Pharaoh Brown,12247,TE,8,CLV,3,2,66.7,27,0,55.2,59.4,72.1,67,72,13.5,15,7.5,18,1,0,0,0,0,95.1,4,1
2019,Cethan Carter,47149,TE,7,CIN,3,2,66.7,13,1,53.2,56.9,68.3,64,59.5,6.5,7,3.5,8,2,0,0,0,0,115.3,1,0
2019,Quincy Enunwa,8843,WR,1,NYJ,3,1,33.3,-4,0,55.7,53.7,64.7,61.2,,-4,-4,-4,8,0,0,0,1,0,42.4,1,0
2019,Cam Sims,47908,WR,6,WAS,3,2,66.7,27,0,58.3,60.7,68.3,64,,13.5,8,4,15,1,0,0,0,0,95.1,1,0
2019,Darrell Daniels,12122,TE,6,ARZ,3,1,33.3,4,0,49.1,47.5,28.8,61.2,63.8,4,0,0,4,1,1,0,0,0,42.4,0,0
2019,Josh Bellamy,7472,WR,4,NYJ,3,2,66.7,20,0,47.1,51.5,29.9,64,,10,9,4.5,15,1,1,0,0,0,85.4,1,0
2019,C.J. Board,12088,WR,3,JAX,3,2,66.7,31,0,54.3,54,30,64,,15.5,7,3.5,23,1,1,0,0,0,100.7,0,0
