year,player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
2019,Nevin Lawson,8768,CB,10,OAK,203,5,2.5,0,1,0,1,10,3,60,0,0,0,0,0,2,40,0,1,0,1,25
2019,George Odum,31342,S,14,IND,234,5,2.1,0,1,0,1,10,3,60,0,0,0,0,0,2,40,0,1,0,1,25
2019,Darqueze Dennard,8659,CB,9,CIN,290,15,5.2,0,2,1,3,10,11,73.3,0,0,1,1,4.5,4,26.7,0,2,0,2,25
2019,Dee Ford,8658,ED,11,SF,168,162,96.4,7,1,17,25,9.9,144,88.9,6,1,16,23,10.1,18,11.1,1,0,1,2,8.3
2019,Jordan Hicks,9517,LB,16,ARZ,667,91,13.6,2,5,9,16,9.9,42,63.6,0,2,3,5,6,24,36.4,1,3,2,6,14.6
2019,Cameron Wake,4907,ED,9,TEN,174,172,98.9,3,8,20,31,9.9,166,96.5,3,8,20,31,10.2,6,3.5,0,0,0,0,0
2019,Von Miller,6154,ED,15,DEN,481,438,91.1,9,10,58,77,9.8,325,74.2,4,9,45,58,9.5,113,25.8,5,1,13,19,10.6
2019,Danielle Hunter,9521,ED,16,MIN,537,529,98.5,15,11,62,88,9.7,503,95.3,14,11,60,85,9.8,25,4.7,1,0,2,3,8
2019,Damontre Moore,7862,ED,2,SF,36,36,100,0,1,6,7,9.7,11,30.6,0,1,0,1,4.5,25,69.4,0,0,6,6,12
2019,Nick Bosa,42741,ED,16,SF,471,462,98.1,10,18,52,80,9.7,103,22.3,3,5,10,18,10.2,359,77.7,7,13,42,62,9.6
2019,Haason Reddick,11768,LB,16,ARZ,446,124,27.8,1,3,19,23,9.7,68,56.2,1,1,12,14,11,53,43.8,0,2,6,8,7.5
2019,J.J. Watt,6163,ED,8,HST,295,294,99.7,5,16,31,52,9.7,267,90.8,5,14,25,44,9.2,27,9.2,0,2,6,8,14.8
2019,Myles Garrett,11756,ED,10,CLV,309,300,97.1,9,9,31,49,9.7,113,37.7,4,2,8,14,8,187,62.3,5,7,23,35,10.7
2019,Buster Skrine,6289,CB,16,CHI,482,26,5.4,0,2,3,5,9.6,17,65.4,0,1,0,1,2.9,9,34.6,0,1,3,4,22.2
2019,Brandon Copeland,8378,LB,12,NYJ,161,47,29.2,2,2,3,7,9.6,37,80.4,1,1,2,4,6.8,9,19.6,1,1,1,3,22.2
2019,Neville Hewitt,9836,LB,12,NYJ,447,73,16.3,2,3,7,12,9.6,29,50.9,1,1,3,5,10.3,28,49.1,1,1,2,4,8.9
